id,tenant_id,sku,name,price_cents,stock,image_url,metadata,created_at,updated_at,marketing_description,image_gallery,custom_cta,social_links,custom_branding,custom_sections,landing_page_theme,audit_log_id,availability,brand,category_path,directory_category_id,condition,currency,description,eligibility_reason,gtin,item_status,location_id,merchant_name,mpn,price,quantity,search_tsv,sync_status,synced_at,title,visibility,manufacturer,source,enrichment_status,enriched_at,enriched_by,enriched_from_barcode,missing_images,missing_description,missing_specs,missing_brand,sale_price_cents,payment_gateway_type,payment_gateway_id,product_type,digital_delivery_method,digital_assets,access_duration_days,download_limit,license_type,has_variants,is_featured,featured_at,featured_until,featured_priority,featured_type,product_slug
sid-db5r3mby,tid-fjwr30ib,qsid-1766530676993,ErgoFlex Mesh Office Chair,89900,69,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-5b9jyhj2/original-1766530780553.jpg,"{""features"": [""Breathable mesh back for cool comfort"", ""Adjustable lumbar support for reduced back strain"", ""Height, armrests, and tilt adjustments for a perfect fit"", ""Sleek design and durable construction"", ""Easy to assemble with clear instructions""], ""specifications"": {""color"": ""Black"", ""material"": ""Mesh, Nylon Base"", ""dimensions"": ""25.2 x 24.4 x 38-42 inches (LxWxH)"", ""weight_capacity"": ""250 lbs"", ""assembly_required"": ""Yes""}, ""enhancedDescription"": ""Introducing the ErgoFlex Mesh Office Chair by ErgoTech, the ultimate solution for your office furniture needs. This chair has been designed with your comfort and productivity in mind. Featuring a breathable mesh back, it ensures you stay cool and comfortable even during long hours of work. The advanced lumbar support system adjusts to your body's needs, reducing back strain and improving your posture over time. The chair's height, armrests, and tilt can all be adjusted to suit your preferences, making it the perfect fit for any user. With its sleek design and durable construction, the ErgoFlex Mesh Office Chair is not only a practical addition to your office but also a stylish one.""}",2026-03-28 01:57:39.919,2026-03-28 05:49:51.815,,{},null,null,null,{},default,,in_stock,ErgoTech,{office-furniture},scid-tid-fjwr30ib-hw15al,brand_new,USD,A comfortable and adjustable mesh office chair designed for long hours of use.,,,active,,,,899.00,,,pending,,ErgoFlex Mesh Office Chair,public,,MANUAL,COMPLETE,,,,f,f,f,f,,,,physical,,null,,,,f,f,,,0,store_selection,lpc_qsid-1766530676993_office-furniture_sid-db5r3mby_0d44c267
pid-3pgmh1mv,tid-8622qs2t,R4KG-PHYS-SHIP-PUBL-3ZF6,Checkers Vanilla Custard,799,5,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-042hi7ju/R4KG-PHYS-SHIP-PUBL-3ZF6/1774603020403.png,"{""features"": [""Versatile for Sweet Creations"", ""Ideal for custard desserts, pies, trifles, and puddings"", ""Perfect for warm or chilled servings"", ""Enhances cakes, pastries, and fruit toppings"", ""Easy to prepare for everyday or special occasions""], ""enhancedDescription"": ""Rich Vanilla Flavor for Every Dessert\nCheckers Vanilla Custard delivers a classic vanilla aroma and a luscious texture that enhances puddings, pies, and layered desserts.""}",2026-05-01 21:44:54.312,2026-05-02 13:53:41.628,,{},null,null,null,{},default,,in_stock,Checkers,{seasonings-and-spices},cat-AVR6-dozxuh,brand_new,USD,"Delight in the smooth, aromatic flavor of Checkers Vanilla Custard, a premium custard powder that blends effortlessly with milk to create creamy, velvety desserts. Perfect for families, bakers, and dessert lovers alike.",,,active,,,,7.99,,,pending,,Checkers Vanilla Custard,public,Checkers,MANUAL,COMPLETE,,,,f,f,f,f,,,,physical,,null,,,,t,f,,,0,store_selection,lpc_R4KG-PHYS-SHIP-PUBL-3ZF6_seasonings-and-spices_pid-3pgmh1mv_0bd557e3
pid-ULCW-cac1ezrs,tid-m8ijkrnk,ULCW-PHYS-SHIP-PUBL-KLMU,Golden Tropics Plantain Fufu Flour 680g Gluten Free,0,0,,{},2026-05-06 18:15:09.239,2026-05-06 18:15:09.197,,{},,,,{},default,,out_of_stock,Golden Tropics,{},,brand_new,USD,"Golden Tropics Plantain Fufu Flour 680g allows you to experience the authentic flavors of West Africa in the comfort of your own home. Fufu, a staple food in many African countries, is traditionally made from starchy ingredients like yam, cassava, or plantains.",,,trashed,,,"",0.00,,,pending,,Golden Tropics Plantain Fufu Flour 680g Gluten Free,public,Golden Tropics,MANUAL,COMPLETE,,,,f,f,f,f,,,,physical,,,,,,f,f,,,0,store_selection,lpc_ULCW-PHYS-SHIP-PUBL-KLMU__pid-ULCW-cac1ezrs_b2fc0f93
pid-ULCW-qxf16ph0,tid-m8ijkrnk,pid-ULCW-ol9jj7ry,Product 030772094037,0,0,,"{""note"": ""Please update product information manually"", ""barcode"": ""030772094037"", ""enrichedAt"": ""2026-05-04T00:04:30.585Z"", ""scannedFrom"": ""sid-ULCW-5olqgqsr"", ""enrichmentSource"": ""fallback""}",2026-05-04 00:04:30.858,2026-05-04 00:04:30.856,,{},,,,{},default,,out_of_stock,Unknown,{},itemcat-ULCW-xaxec9,brand_new,USD,Product information not available,,030772094037,trashed,,,,0.00,,,pending,,Product 030772094037,private,,MANUAL,COMPLETE,,,,f,f,f,f,,,,physical,,,,,,f,f,,,0,store_selection,upc_unknown__030772094037_e45095d4
sid-q8ww7uzy,tid-a3813d7i,qsid-1766530641101,Eaton BR 20 Amp Single Pole Circuit Breaker,497,72,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/chain_location_1766071991129_0/products/sid-0cuc4z27/original-1766112602043.jpg,null,2026-03-24 22:54:08.666,2026-03-26 01:22:24.557,,{},null,null,null,{},default,,in_stock,Eaton,{electrical},scid-tid-a3813d7i-6ydi3o,brand_new,USD,A reliable single pole circuit breaker designed for residential and commercial applications.,,,active,,,,4.97,,,pending,,Eaton BR 20 Amp Single Pole Circuit Breaker,public,,MANUAL,COMPLETE,,,,f,f,f,f,,,,physical,,null,,,,f,f,,,0,store_selection,lpc_qsid-1766530641101_electrical_sid-q8ww7uzy_e6a94193
sid-u0yjm9wa,tid-lt2t1wzu,qsid-1766439434273,MoroccanOil Treatment Original 100ml,4400,44,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-yrkd470n/products/iid-rqcj74cp/original-1765527032311.jpg,null,2026-03-06 12:34:48.26,2026-03-19 02:54:25.522,,{},,,,{},default,,in_stock,MoroccanOil,{haircare},,brand_new,USD,"A versatile, argan oil-infused hair treatment and styler that promotes softer, stronger hair with increased shine.",,,trashed,,,,44.00,,,pending,,MoroccanOil Treatment Original 100ml,public,,MANUAL,COMPLETE,,,,f,f,f,f,,,,physical,,,,,,f,f,,,0,store_selection,lpc_qsid-1766439434273_haircare_sid-u0yjm9wa_135a358f
pid-GPES-nby7su39,tid-qki0mjdb,pid-GPES-f8jyzuj6,Product 030772094037,0,0,,"{""note"": ""Please update product information manually"", ""barcode"": ""030772094037"", ""enrichedAt"": ""2026-05-04T02:11:59.705Z"", ""scannedFrom"": ""session-GPES-72pphmhh"", ""enrichmentSource"": ""fallback""}",2026-05-04 02:11:59.9,2026-05-04 02:11:59.897,,{},,,,{},default,,out_of_stock,Unknown,{},itemcat-GPES-tgxvp9,brand_new,USD,Product information not available,,030772094037,active,,,,0.00,,,pending,,Product 030772094037,private,,MANUAL,COMPLETE,,,,f,f,f,f,,,,physical,,,,,,f,f,,,0,store_selection,upc_unknown__030772094037_e45095d4
sid-bklucmod,tid-r6cccpag,qsid-1766436571329,Galactic Explorer Space Station Playset,4999,98,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-bklucmod/original-1766436736926.jpg,"{""features"": [""Highly detailed space station module for realistic play"", ""Includes two posable astronaut figures"", ""Comes with a miniature spaceship for extended play"", ""Encourages imagination and storytelling"", ""Helps develop fine motor skills""], ""specifications"": {""size"": ""18 inches width x 12 inches height"", ""material"": ""Non-toxic ABS plastic"", ""quantity"": ""1 playset (includes space station, 2 figures, spacecraft)"", ""age range"": ""3 years and up""}, ""enhancedDescription"": ""Embark on interstellar adventures with the Galactic Explorer Space Station Playset from Star Voyagers. Designed to inspire young minds and foster a love for space exploration, this playset is a gateway to endless imaginative play. The highly detailed space station module serves as the central hub for your child's galactic adventures, featuring realistic designs that mimic actual space stations. Two posable astronaut figures are included, allowing kids to create their own space missions. The miniature spaceship complements the set, designed for spacewalks and exploring the far reaches of the playroom galaxy.\n\nNot only does this playset encourage creative storytelling, but it also helps develop fine motor skills as children assemble the space station and navigate the astronauts through daring space missions. The Galactic Explorer Space Station Playset is the perfect gift for budding space enthusiasts, offering a fun and educational experience that blends playtime with learning about the universe.""}",2025-12-22 20:51:03.668,2025-12-23 23:00:40.576,,{},,,,{},default,,in_stock,Star Voyagers,{toys-games},tid-r6cccpag_toys-games,brand_new,USD,"A comprehensive playset for aspiring astronauts, complete with a detailed space station, two astronaut figures, and a miniature spaceship.",,,active,,,,49.99,,,pending,,Galactic Explorer Space Station Playset,public,,MANUAL,COMPLETE,,,,f,f,f,f,,,,physical,,,,,,f,f,,,0,store_selection,lpc_qsid-1766436571329_toys-games_sid-bklucmod_9c85039e
sid-7eky6s77,tid-mrsyk3w6,qsid-1766530641098,DeWalt DCD777C2 20V Max Lithium-Ion Brushless Compact Drill Driver,9900,95,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/chain_location_1766071991129_0/products/sid-mxfzzffk/original-1766112543180.jpg,null,2026-03-26 01:24:53.555,2026-03-26 01:24:53.553,,{},null,null,null,{},default,,in_stock,DeWalt,{power-tools},scid-tid-mrsyk3w6-cludox,brand_new,USD,The DeWalt DCD777C2 20V Max Lithium-Ion Brushless Compact Drill Driver is designed to fit into tight areas and provides a high-performance motor that delivers 340 unit watts out (UWO).,,,active,,,,99.00,,,pending,,DeWalt DCD777C2 20V Max Lithium-Ion Brushless Compact Drill Driver,public,,MANUAL,COMPLETE,,,,f,f,f,f,,,,physical,,,,,,f,f,,,0,store_selection,lpc_qsid-1766530641098_power-tools_sid-7eky6s77_bf8b93bd
pid-ULCW-0yq50c0e,tid-m8ijkrnk,ULCW-PHYS-SHIP-PUBL-KXXW,Golden Tropics Plantain Fufu Flour 680g Gluten Free,1499,10,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-m8ijkrnk/items/pid-ULCW-0yq50c0e/tmp-AG0EI1UJ.png,"{""tags"": [""Plantain"", ""Fufu"", ""Flour"", ""Swallows"", ""Starches"", ""Swallows"", ""Starches"", ""Flour"", ""Fufu"", ""Plantain""], ""features"": [""Authentic Flavor : Made from cocoyam, plantain, cassava, and potato starch for true West African taste in fufu, banku, and pounded yam."", ""Gluten-Free & Healthy : Naturally gluten-free and high in fiber, providing a nutritious option suitable for clean eating and special diets."", ""Smooth & Easy Prep : Finely milled for quick, lump-free cooking, making traditional African dishes simple and convenient.""], ""videoUrl"": ""https://youtu.be/62X85NhGcmI"", ""seo_title"": ""Golden Tropics Plantain Fufu Flour 680g Gluten Free"", ""variantMedia"": {""cloningStrategy"": ""clone_all"", ""parentImagesToClone"": [], ""variantSpecificImages"": {}}, ""variantConfig"": {""attributeTypes"": [], ""cloningEnabled"": false, ""individualPhotos"": false}, ""specifications"": {""Size"": ""24 oz"", ""Aisle"": ""Swallows & Starches"", ""Brand"": ""Golden Tropics"", ""Origin"": ""Ghana, West Africa"", ""Product Type"": ""Plantain Fufu Flour"", ""Shipping Product Weight"": ""2.5 lb"", ""SNAP / EBT Eligible (Coming Soon)"": ""Eligible""}, ""videoThumbnail"": null, ""allow_backorder"": false, ""seo_description"": ""This plantain fufu flour provides a convenient way to prepare this beloved African dish."", ""track_inventory"": false, ""featuringOptions"": {""isFeatured"": false, ""autoFeature"": false, ""featuredTypes"": [], ""featuredDuration"": 30, ""featuredPriority"": 0}, ""inventorySettings"": {""reorderPoint"": 10, ""maxStockLevel"": 1000, ""allowBackorder"": false, ""trackInventory"": false, ""lowStockThreshold"": 5}, ""publishingOptions"": {""createPromotion"": false, ""notifyCustomers"": false, ""publishVariants"": ""all"", ""publishImmediately"": false}, ""low_stock_threshold"": 5, ""organizationSettings"": {""featured"": false, ""priority"": 0, ""searchable"": true, ""visibility"": ""public""}}",2026-05-06 21:54:48.15,2026-05-06 21:54:48.139,"This plantain fufu flour provides a convenient way to prepare this beloved African dish. It is a versatile culinary ingredient that opens up a world of traditional African flavors. With Golden Tropics Plantain Fufu Flour, you can enjoy fufu as a gluten-free alternative to other starchy foods.
Preparing fufu with Golden Tropics Plantain Fufu Flour is quick and hassle-free. Simply mix the flour with water and cook it until it reaches the desired consistency. This traditional dish pairs perfectly with a variety of soups, stews, or sauces, creating a hearty and satisfying meal that is enjoyed across West Africa.
Golden Tropics Plantain Fufu Flour not only satisfies your taste buds but also provides nutritional benefits. Plantains, the key ingredient in this flour, are a good source of dietary fiber, vitamins, and minerals. By incorporating plantain fufu into your diet, you contribute to a well-balanced and wholesome eating plan.
The 680g pack of Golden Tropics Plantain Fufu Flour offers generous servings for you to enjoy this traditional African dish. The resealable packaging ensures that the flour remains fresh, allowing you to prepare fufu whenever you desire, without any waste.
Embrace the authentic flavors and convenience of Golden Tropics Plantain Fufu Flour 680g. Immerse yourself in the rich culinary heritage of West Africa by preparing fufu with this versatile ingredient. Whether you're new to African cuisine or seeking to reconnect with traditional flavors, this plantain fufu flour will elevate your culinary experience.","{https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-m8ijkrnk/items/pid-ULCW-0yq50c0e/tmp-GVWGAWJ3.png,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-m8ijkrnk/items/pid-ULCW-0yq50c0e/tmp-QWFX43UQ.png,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-m8ijkrnk/items/pid-ULCW-0yq50c0e/tmp-9W4D6FLL.png,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-m8ijkrnk/items/pid-ULCW-0yq50c0e/tmp-GN18QSKB.png}",,,,{},default,,in_stock,Golden Tropics,{flour},itemcat-ULCW-txrsao,brand_new,USD,"Golden Tropics Plantain Fufu Flour 680g allows you to experience the authentic flavors of West Africa in the comfort of your own home. Fufu, a staple food in many African countries, is traditionally made from starchy ingredients like yam, cassava, or plantains.",,,active,,,,14.99,,,pending,,Golden Tropics Plantain Fufu Flour 680g Gluten Free,public,Golden Tropics,MANUAL,COMPLETE,,,,f,f,f,f,1099,,,physical,direct_download,[],,,personal,f,f,,,0,store_selection,lpc_ULCW-PHYS-SHIP-PUBL-KXXW_flour_pid-ULCW-0yq50c0e_b2fc0f93
sid-lug2msna,tid-r6cccpag,qsid-1766436571327,Trailblazer Lightweight Hiking Backpack - 30L,5999,11,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-lug2msna/original-1766436716307.jpg,"{""features"": [""Lightweight and durable construction"", ""Ergonomic design with adjustable straps for maximum comfort"", ""Built-in hydration compartment"", ""Multiple zippered pockets for easy organization"", ""Reflective details for increased visibility""], ""specifications"": {""weight"": ""1.2 lbs"", ""capacity"": ""30L"", ""material"": ""Ripstop nylon"", ""dimensions"": ""20\"" x 13\"" x 7\"""", ""hydrationCompatible"": true}, ""enhancedDescription"": ""The Eagle Peak Trailblazer Lightweight Hiking Backpack is the ultimate companion for your next day hike or outdoor adventure. Crafted from high-quality, durable materials, this 30L backpack is designed to withstand the elements while providing ample storage for all your essentials. With its ergonomic design and adjustable straps, the Trailblazer offers unparalleled comfort, allowing you to trek further without the burden of a cumbersome pack. Featuring a built-in hydration compartment, multiple zippered pockets for organization, and reflective details for added safety, this backpack is a must-have for any outdoor enthusiast. Whether you're exploring local trails or embarking on a weekend adventure, the Trailblazer is equipped to meet your needs.""}",2025-12-22 20:51:02.646,2026-01-15 18:31:59.715,,{},,,,{},default,,in_stock,Eagle Peak,{sports-outdoors},tid-r6cccpag_sports-outdoors,brand_new,USD,"A lightweight, durable backpack designed for day hikes and outdoor adventures.",,,active,,,,59.99,,,pending,,Trailblazer Lightweight Hiking Backpack - 30L,public,,MANUAL,COMPLETE,,,,f,f,f,f,,,,physical,,,,,,f,f,,,0,store_selection,lpc_qsid-1766436571327_sports-outdoors_sid-lug2msna_693f283e
sid-e3n20sbw,tid-8622qs2t,qsid-1766436467816,Sourdough Round Loaf - 450g,499,5,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-m11e6ur7/products/i-w9145o12/original-1765232783760.jpg,"{""likes"": 1, ""likedBy"": [{""userId"": ""uid-zqe5ns5k"", ""sessionId"": ""session_1766962827308_6e6uxqicc"", ""timestamp"": ""2025-12-29T04:37:05.786Z""}]}",2026-03-26 01:21:43.954,2026-03-26 01:21:43.952,,{},null,null,null,{},default,,in_stock,Artisan Bakes,{bakery},scid-tid-8622qs2t-cf1sc0,brand_new,USD,A traditional sourdough loaf with a tangy flavor and crusty exterior.,,,active,,,,4.99,,,pending,,Sourdough Round Loaf - 450g,public,,MANUAL,COMPLETE,,,,f,f,f,f,,,,physical,,,,,,f,f,,,0,store_selection,lpc_qsid-1766436467816_bakery_sid-e3n20sbw_5b096342
