id,parent_item_id,tenant_id,sku,variant_name,price_cents,sale_price_cents,stock,image_url,attributes,sort_order,is_active,created_at,updated_at
vid-sid-xeabktla-3cn,sid-xeabktla,tid-042hi7ju,R4KG-PHYS-SHIP-PUBL-V02,1.5kg,1499,,5,,"{""weight"": ""1.5kg""}",1,t,2026-03-27 10:16:37.77,2026-03-27 10:16:37.77
var-1775117921902-m4sxzrt,sid-hmgqmgpn,tid-zcp9a56y,3GYK-PHYS-SHIP-PUBL-V01,small,399,,5,,"{""size"": ""small""}",0,t,2026-04-02 08:18:42.225,2026-04-02 08:18:42.225
var-1775117922554-vdoy9bm,sid-hmgqmgpn,tid-zcp9a56y,3GYK-PHYS-SHIP-PUBL-V02,medium,499,,4,,"{""size"": ""medium""}",0,t,2026-04-02 08:18:42.879,2026-04-02 08:18:42.879
var-1775119793177-3jdt9z0,sid-82lhweps,tid-zcp9a56y,3GYK-PHYS-SHIP-PUBL-VP525,small,499,,3,,"{""size"": ""small""}",0,t,2026-04-02 08:49:53.179,2026-04-02 08:49:53.179
var-1775119794049-h661hjn,sid-82lhweps,tid-zcp9a56y,3GYK-PHYS-SHIP-PUBL-V5NHH,medium,599,,4,,"{""size"": ""medium""}",0,t,2026-04-02 08:49:54.051,2026-04-02 08:49:54.051
var-1775119919750-a7p5ek3,sid-zfotsnyq,tid-zcp9a56y,3GYK-PHYS-SHIP-PUBL-VCPUS,small - green,499,,5,,"{""size"": ""small"", ""color"": ""green""}",0,t,2026-04-02 08:51:59.753,2026-04-02 08:51:59.753
var-1775119920643-uuo39z3,sid-zfotsnyq,tid-zcp9a56y,3GYK-PHYS-SHIP-PUBL-V5X59,medium - yellow,599,,3,,"{""size"": ""medium"", ""color"": ""yellow""}",0,t,2026-04-02 08:52:00.646,2026-04-02 08:52:00.646
vid-sid-tjphaqcd-ekv,sid-tjphaqcd,tid-zcp9a56y,3GYK-PHYS-SHIP-PUBL-V6SX9,small,399,,5,,"{""size"": ""small""}",0,t,2026-04-02 19:37:55.652,2026-04-02 19:37:55.652
vid-sid-tjphaqcd-0bc,sid-tjphaqcd,tid-zcp9a56y,3GYK-PHYS-SHIP-PUBL-V3AFJ,medium,499,,5,,"{""size"": ""medium""}",1,t,2026-04-02 19:37:55.652,2026-04-02 19:37:55.652
var-1777757556924-g4rn284,sid-7xsn12ae,tid-8622qs2t,qsid-1766436571328-VAYYS,Red,3499,2999,5,,"{""color"": ""Red""}",0,t,2026-05-02 21:32:36.926,2026-05-02 21:32:36.926
var-1777757557874-3h7lj09,sid-7xsn12ae,tid-8622qs2t,qsid-1766436571328-VIQO8,Blue,3499,3199,6,,"{""color"": ""Blue""}",0,t,2026-05-02 21:32:37.876,2026-05-02 21:32:37.876
var-1777758165609-j65omez,sid-ktrl9y7m,tid-8622qs2t,qsid-1766436467819-VYNZL,Small,99,59,4,,"{""size"": ""Small""}",0,t,2026-05-02 21:42:45.612,2026-05-02 21:42:45.612
var-1777758166482-ami8sp8,sid-ktrl9y7m,tid-8622qs2t,qsid-1766436467819-V6EJR,Medium,199,125,3,,"{""size"": ""Medium""}",0,t,2026-05-02 21:42:46.484,2026-05-02 21:42:46.484
var-1777758167264-my2jalt,sid-ktrl9y7m,tid-8622qs2t,qsid-1766436467819-VZ6W7,Large,299,247,3,,"{""size"": ""Large""}",0,t,2026-05-02 21:42:47.266,2026-05-02 21:42:47.266
vid-pid-AVR6-2ghjil3x-AVR6-k34,pid-AVR6-2ghjil3x,tid-8622qs2t,R4KG-PHYS-SHIP-PUBL-VH6YC,Small,100,80,2,,"{""size"": ""Small""}",0,t,2026-05-02 22:36:55.45,2026-05-02 22:36:55.45
vid-pid-AVR6-2ghjil3x-AVR6-xsh,pid-AVR6-2ghjil3x,tid-8622qs2t,R4KG-PHYS-SHIP-PUBL-VDVUX,Medium,200,,4,,"{""size"": ""Medium""}",0,t,2026-05-02 22:36:55.45,2026-05-02 22:36:55.45
vid-sid-zpw3rbxj-R4KG-c2x,sid-zpw3rbxj,tid-042hi7ju,qsid-1766436467819-VYNZL,Small,99,59,4,,"{""size"": ""Small""}",0,t,2026-05-03 01:11:44.399,2026-05-03 01:11:44.399
vid-sid-zpw3rbxj-R4KG-e9s,sid-zpw3rbxj,tid-042hi7ju,qsid-1766436467819-V6EJR,Medium,199,125,3,,"{""size"": ""Medium""}",0,t,2026-05-03 01:11:44.403,2026-05-03 01:11:44.403
vid-sid-zpw3rbxj-R4KG-kym,sid-zpw3rbxj,tid-042hi7ju,qsid-1766436467819-VZ6W7,Large,299,247,3,,"{""size"": ""Large""}",0,t,2026-05-03 01:11:44.404,2026-05-03 01:11:44.404
vid-pid-R4KG-qz3cfdvr-R4KG-aow,pid-R4KG-qz3cfdvr,tid-042hi7ju,R4KG-PHYS-SHIP-PUBL-VH6YC,Small,100,80,2,,"{""size"": ""Small""}",0,t,2026-05-03 01:58:03.995,2026-05-03 01:58:03.995
vid-pid-R4KG-qz3cfdvr-R4KG-eth,pid-R4KG-qz3cfdvr,tid-042hi7ju,R4KG-PHYS-SHIP-PUBL-VDVUX,Medium,200,,4,,"{""size"": ""Medium""}",0,t,2026-05-03 01:58:03.996,2026-05-03 01:58:03.996
vid-pid-PZQG-2yonj0fd-PZQG-yyv,pid-PZQG-2yonj0fd,tid-jcvzufq2,R4KG-PHYS-SHIP-PUBL-VH6YC,Small,100,80,2,,"{""size"": ""Small""}",0,t,2026-05-03 11:58:45.764,2026-05-03 11:58:45.764
vid-pid-PZQG-2yonj0fd-PZQG-714,pid-PZQG-2yonj0fd,tid-jcvzufq2,R4KG-PHYS-SHIP-PUBL-VDVUX,Medium,200,,4,,"{""size"": ""Medium""}",0,t,2026-05-03 11:58:45.765,2026-05-03 11:58:45.765
