id,product_slug,universal_sku,slug_hash,tenant_id,original_sku,created_at,slug_type,slug_prefix,brand_normalized,category_normalized,format_version,slug_components,is_active,migration_status
psr-08e32fda-c5eb-46bc-8ed0-42141f851fd0,lpc_qsid-1766436467812_produce_sid-9lklhgkt_7cf0733f,,,tid-qki0mjdb,qsid-1766436467812,2026-05-04 12:09:23.197384,lpc,lpc,onion-masters,produce,v2,"{""sku"": ""qsid-1766436467812"", ""type"": ""lpc"", ""item_id"": ""sid-9lklhgkt"", ""category"": ""produce"", ""name_hash"": ""7cf0733f""}",t,backfilled
psr-6151066d-b8b3-4dfa-a682-d72e0533a951,lpc_qsid-1766436467812_produce_sid-edut3xl1_7cf0733f,,,tid-042hi7ju,qsid-1766436467812,2026-05-04 12:09:23.197384,lpc,lpc,onion-masters,produce,v2,"{""sku"": ""qsid-1766436467812"", ""type"": ""lpc"", ""item_id"": ""sid-edut3xl1"", ""category"": ""produce"", ""name_hash"": ""7cf0733f""}",t,backfilled
psr-f50bdb13-82b0-4590-8333-0a1dc0ad1865,lpc_030772094037_liquid-hand-soap_pid-88ej1gez_a6666d26,,,tid-042hi7ju,030772094037,2026-05-04 12:09:23.197384,lpc,lpc,proctor-gamble,liquid-hand-soap,v2,"{""sku"": ""030772094037"", ""type"": ""lpc"", ""item_id"": ""pid-88ej1gez"", ""category"": ""liquid-hand-soap"", ""name_hash"": ""a6666d26""}",t,backfilled
psr-c9ecb327-8b73-4c0a-acdc-3050dba90f5b,lpc_APPAREL-CAP-BB_apparel-accessories-clothing-t-shirts_csid-8xruvur9_6fa8e543,,,tid-mrsyk3w6,APPAREL-CAP-BB,2026-05-04 12:09:23.197384,lpc,lpc,demo-brand,apparel-accessoriesgeneralclothinggeneralt-shirts,v2,"{""sku"": ""APPAREL-CAP-BB"", ""type"": ""lpc"", ""item_id"": ""csid-8xruvur9"", ""category"": ""apparel-accessories-clothing-t-shirts"", ""name_hash"": ""6fa8e543""}",t,backfilled
psr-64ca823e-f192-45e9-89eb-3319e24314c6,lpc_APPAREL-HD-PO_apparel-accessories-clothing-t-shirts_csid-46i91wfr_f6965c06,,,tid-mrsyk3w6,APPAREL-HD-PO,2026-05-04 12:09:23.197384,lpc,lpc,demo-brand,apparel-accessoriesgeneralclothinggeneralt-shirts,v2,"{""sku"": ""APPAREL-HD-PO"", ""type"": ""lpc"", ""item_id"": ""csid-46i91wfr"", ""category"": ""apparel-accessories-clothing-t-shirts"", ""name_hash"": ""f6965c06""}",t,backfilled
psr-66c21161-786c-4363-91d9-71210dcea48a,lpc_APPAREL-SH-RUN_apparel-accessories-clothing-t-shirts_csid-rqfz5wh7_79cfc22e,,,tid-mrsyk3w6,APPAREL-SH-RUN,2026-05-04 12:09:23.197384,lpc,lpc,demo-brand,apparel-accessoriesgeneralclothinggeneralt-shirts,v2,"{""sku"": ""APPAREL-SH-RUN"", ""type"": ""lpc"", ""item_id"": ""csid-rqfz5wh7"", ""category"": ""apparel-accessories-clothing-t-shirts"", ""name_hash"": ""79cfc22e""}",t,backfilled
psr-e1e5a92f-d698-4d4f-a04d-03ae54c4002b,lpc_APPAREL-SK-ATH_apparel-accessories-clothing-t-shirts_csid-43u1gt3o_72f51795,,,tid-mrsyk3w6,APPAREL-SK-ATH,2026-05-04 12:09:23.197384,lpc,lpc,demo-brand,apparel-accessoriesgeneralclothinggeneralt-shirts,v2,"{""sku"": ""APPAREL-SK-ATH"", ""type"": ""lpc"", ""item_id"": ""csid-43u1gt3o"", ""category"": ""apparel-accessories-clothing-t-shirts"", ""name_hash"": ""72f51795""}",t,backfilled
psr-e05aef64-3303-4efc-86e0-7ab2aad76d17,lpc_APPAREL-TS-UNI_apparel-accessories-clothing-t-shirts_csid-yq7opafh_9be6fa95,,,tid-mrsyk3w6,APPAREL-TS-UNI,2026-05-04 12:09:23.197384,lpc,lpc,demo-brand,apparel-accessoriesgeneralclothinggeneralt-shirts,v2,"{""sku"": ""APPAREL-TS-UNI"", ""type"": ""lpc"", ""item_id"": ""csid-yq7opafh"", ""category"": ""apparel-accessories-clothing-t-shirts"", ""name_hash"": ""9be6fa95""}",t,backfilled
psr-818019e3-47fd-42ba-b57b-194cd632d84d,lpc_AUDIO-WH-001_electronics-audio-headphones_csid-gogfzw6i_afc689e7,,,tid-mrsyk3w6,AUDIO-WH-001,2026-05-04 12:09:23.197384,lpc,lpc,demo-brand,electronicsgeneralaudiogeneralheadphones,v2,"{""sku"": ""AUDIO-WH-001"", ""type"": ""lpc"", ""item_id"": ""csid-gogfzw6i"", ""category"": ""electronics-audio-headphones"", ""name_hash"": ""afc689e7""}",t,backfilled
psr-39974d83-a9c1-4241-bb5b-6ef64ef68ba2,lpc_HOME-WB-32_home-garden-kitchen-dining-kitchen-tools_csid-k2q2ntby_90516d5a,,,tid-mrsyk3w6,HOME-WB-32,2026-05-04 12:09:23.197384,lpc,lpc,demo-brand,home-gardengeneralkitchen-dininggeneralkitchen-tools,v2,"{""sku"": ""HOME-WB-32"", ""type"": ""lpc"", ""item_id"": ""csid-k2q2ntby"", ""category"": ""home-garden-kitchen-dining-kitchen-tools"", ""name_hash"": ""90516d5a""}",t,backfilled
psr-f2fb7f83-c8ae-4e07-94cc-9fbbd0af4d8a,lpc_INPUT-MS-ERG_electronics-audio-headphones_csid-b9uxb9hm_815f0f47,,,tid-mrsyk3w6,INPUT-MS-ERG,2026-05-04 12:09:23.197384,lpc,lpc,demo-brand,electronicsgeneralaudiogeneralheadphones,v2,"{""sku"": ""INPUT-MS-ERG"", ""type"": ""lpc"", ""item_id"": ""csid-b9uxb9hm"", ""category"": ""electronics-audio-headphones"", ""name_hash"": ""815f0f47""}",t,backfilled
psr-a5d36197-b01f-4e51-96ff-21fad5c44b58,lpc_KFTF-PHYS-SHIP-PUBL-8GRR_meat-seafood_sid-w76bko0k_a8060d8f,,,tid-lt2t1wzu,KFTF-PHYS-SHIP-PUBL-8GRR,2026-05-04 12:09:23.197384,lpc,lpc,blue-ocean,meat-seafood,v2,"{""sku"": ""KFTF-PHYS-SHIP-PUBL-8GRR"", ""type"": ""lpc"", ""item_id"": ""sid-w76bko0k"", ""category"": ""meat-seafood"", ""name_hash"": ""a8060d8f""}",t,backfilled
psr-847c4d5f-584a-4824-abae-68774fa2f702,lpc_KFTF-PHYS-SHIP-PUBL-9K3F_bakery_sid-tgsahm90_5b096342,,,tid-lt2t1wzu,KFTF-PHYS-SHIP-PUBL-9K3F,2026-05-04 12:09:23.197384,lpc,lpc,artisan-bakes,bakery,v2,"{""sku"": ""KFTF-PHYS-SHIP-PUBL-9K3F"", ""type"": ""lpc"", ""item_id"": ""sid-tgsahm90"", ""category"": ""bakery"", ""name_hash"": ""5b096342""}",t,backfilled
psr-a389ce51-6828-4e8c-b3ea-0d826cb96152,lpc_KFTF-PHYS-SHIP-PUBL-ETZZ_dairy-eggs_sid-vgvwthih_fd89283d,,,tid-lt2t1wzu,KFTF-PHYS-SHIP-PUBL-ETZZ,2026-05-04 12:09:23.197384,lpc,lpc,land-o-lakes,dairy-eggs,v2,"{""sku"": ""KFTF-PHYS-SHIP-PUBL-ETZZ"", ""type"": ""lpc"", ""item_id"": ""sid-vgvwthih"", ""category"": ""dairy-eggs"", ""name_hash"": ""fd89283d""}",t,backfilled
psr-2ebedb43-d56e-4b31-99a7-73669a065122,lpc_KFTF-PHYS-SHIP-PUBL-GL3T_produce_sid-ybwqw9ct_7cf0733f,,,tid-lt2t1wzu,KFTF-PHYS-SHIP-PUBL-GL3T,2026-05-04 12:09:23.197384,lpc,lpc,onion-masters,produce,v2,"{""sku"": ""KFTF-PHYS-SHIP-PUBL-GL3T"", ""type"": ""lpc"", ""item_id"": ""sid-ybwqw9ct"", ""category"": ""produce"", ""name_hash"": ""7cf0733f""}",t,backfilled
psr-e6bab288-43de-4dad-bea7-8dcae6c483eb,lpc_KFTF-PHYS-SHIP-PUBL-W3EP_frozen-foods_sid-hhfn6nlg_3bbf008f,,,tid-lt2t1wzu,KFTF-PHYS-SHIP-PUBL-W3EP,2026-05-04 12:09:23.197384,lpc,lpc,amy-s-kitchen,frozen-foods,v2,"{""sku"": ""KFTF-PHYS-SHIP-PUBL-W3EP"", ""type"": ""lpc"", ""item_id"": ""sid-hhfn6nlg"", ""category"": ""frozen-foods"", ""name_hash"": ""3bbf008f""}",t,backfilled
psr-cc90523e-b78a-4ec4-a5ff-d267060c32ec,lpc_KITCHEN-CB-BAM_home-garden-kitchen-dining-kitchen-tools_csid-8cc4esnq_45c72052,,,tid-mrsyk3w6,KITCHEN-CB-BAM,2026-05-04 12:09:23.197384,lpc,lpc,demo-brand,home-gardengeneralkitchen-dininggeneralkitchen-tools,v2,"{""sku"": ""KITCHEN-CB-BAM"", ""type"": ""lpc"", ""item_id"": ""csid-8cc4esnq"", ""category"": ""home-garden-kitchen-dining-kitchen-tools"", ""name_hash"": ""45c72052""}",t,backfilled
psr-0e86ae2f-3ce3-4717-b189-98094274b8d1,lpc_qsid-1766436467812_produce_sid-kppcwwzj_7cf0733f,,,tid-mrsyk3w6,qsid-1766436467812,2026-05-04 12:09:23.197384,lpc,lpc,onion-masters,produce,v2,"{""sku"": ""qsid-1766436467812"", ""type"": ""lpc"", ""item_id"": ""sid-kppcwwzj"", ""category"": ""produce"", ""name_hash"": ""7cf0733f""}",t,backfilled
psr-2e57b510-7f2b-41c0-b4c1-d9c7803cc014,lpc_NQW6-PHYS-SHIP-PUBL-EC8P_frozen-foods_sid-sl27utfm_3bbf008f,VS-FRO-AMY-358470,e3a5610211cf9b537447656becc064a0,tid-a3813d7i,NQW6-PHYS-SHIP-PUBL-EC8P,2026-04-30 20:51:47.011567,lpc,lpc,amy-s-kitchen,frozen-foods,v2,"{""sku"": ""NQW6-PHYS-SHIP-PUBL-EC8P"", ""type"": ""lpc"", ""item_id"": ""sid-sl27utfm"", ""category"": ""frozen-foods"", ""name_hash"": ""3bbf008f""}",t,migrated
psr-bf38baa1-91d2-4234-a0d4-9d7a549526c3,lpc_qsid-1766530641100_paint-supplies_sid-atabvcfq_5ffd42cd,VS-PAI-BEH-3DF5CB,468fe3c2484b957f86461849f10293f7,tid-jcvzufq2,qsid-1766530641100,2026-04-30 20:51:47.011567,lpc,lpc,behr,paint-supplies,v2,"{""sku"": ""qsid-1766530641100"", ""type"": ""lpc"", ""item_id"": ""sid-atabvcfq"", ""category"": ""paint-supplies"", ""name_hash"": ""5ffd42cd""}",t,migrated
psr-1395549b-761e-412f-9aa3-9249f1663e6b,lpc_qsid-1766436467819_frozen-foods_sid-79ylga68_297ea197,VS-FRO-BIR-225153,58bb4b485ffd60fa7b4e7b38118a638e,tid-jcvzufq2,qsid-1766436467819,2026-04-30 20:51:47.011567,lpc,lpc,birds-eye,frozen-foods,v2,"{""sku"": ""qsid-1766436467819"", ""type"": ""lpc"", ""item_id"": ""sid-79ylga68"", ""category"": ""frozen-foods"", ""name_hash"": ""297ea197""}",t,migrated
psr-30ee063d-a8d0-4db7-a288-a8f2f0afaac6,lpc_qsid-1766436467814_meat-seafood_sid-khln97kb_a8060d8f,VS-MEA-BLU-C23B2C,53b742907b17221ec3961349d5af3c99,tid-jcvzufq2,qsid-1766436467814,2026-04-30 20:51:47.011567,lpc,lpc,blue-ocean,meat-seafood,v2,"{""sku"": ""qsid-1766436467814"", ""type"": ""lpc"", ""item_id"": ""sid-khln97kb"", ""category"": ""meat-seafood"", ""name_hash"": ""a8060d8f""}",t,migrated
psr-10df116c-66ff-4ae0-a723-dc077ddd6ce1,lpc_qsid-1766440209118_sewing-fabric_sid-vfnmt5yl_08d0e5e9,VS-SEW-BRO-C167B0,ff759f0045286c4d5d84cc0ae2e65556,tid-a3813d7i,qsid-1766440209118,2026-04-30 20:51:47.011567,lpc,lpc,brother,sewing-fabric,v2,"{""sku"": ""qsid-1766440209118"", ""type"": ""lpc"", ""item_id"": ""sid-vfnmt5yl"", ""category"": ""sewing-fabric"", ""name_hash"": ""08d0e5e9""}",t,migrated
psr-280288f2-44cd-4aab-b2bd-c4b3131a5e7b,lpc_qsid-1767098488110_mens-shirts_sid-g7a55rso_43b41177,VS-MEN-CAL-F70E5A,2d3dbbf4cc8365ead3e649e06053e921,tid-a3813d7i,qsid-1767098488110,2026-04-30 20:51:47.011567,lpc,lpc,calvin-klein,mens-shirts,v2,"{""sku"": ""qsid-1767098488110"", ""type"": ""lpc"", ""item_id"": ""sid-g7a55rso"", ""category"": ""mens-shirts"", ""name_hash"": ""43b41177""}",t,migrated
psr-b0d511ed-3120-493f-8d89-4a76333ea1bb,lpc_3GYK-PHYS-SHIP-PUBL-52EC_personal-care_sid-zfotsnyq_1e9ba732,VS-PER-CET-C7F489,0568d3c6f22e59b303329e665f0a2927,tid-zcp9a56y,3GYK-PHYS-SHIP-PUBL-52EC,2026-04-30 20:51:47.011567,lpc,lpc,cetaphil,personal-care,v2,"{""sku"": ""3GYK-PHYS-SHIP-PUBL-52EC"", ""type"": ""lpc"", ""item_id"": ""sid-zfotsnyq"", ""category"": ""personal-care"", ""name_hash"": ""1e9ba732""}",t,migrated
psr-cca7b156-ab2b-47b5-8826-4242c80c84bd,lpc_qsid-1766439434277_fragrance_sid-9y9k5wg1_ab8f8ed7,VS-FRA-CHA-9A4E9F,982c5fbfe1d0ccfa0ebc7b0d728ef847,tid-a3813d7i,qsid-1766439434277,2026-04-30 20:51:47.011567,lpc,lpc,chanel,fragrance,v2,"{""sku"": ""qsid-1766439434277"", ""type"": ""lpc"", ""item_id"": ""sid-9y9k5wg1"", ""category"": ""fragrance"", ""name_hash"": ""ab8f8ed7""}",t,migrated
psr-48830d9f-d23c-4c6b-921c-0736e2a2c698,lpc_qsid-1766436467811_dairy-eggs_sid-5djfvl16_42cc0494,VS-DAI-CHO-41A5D3,0521085fb05cda8cf40375fc4908371d,tid-jcvzufq2,qsid-1766436467811,2026-04-30 20:51:47.011567,lpc,lpc,chobani,dairy-eggs,v2,"{""sku"": ""qsid-1766436467811"", ""type"": ""lpc"", ""item_id"": ""sid-5djfvl16"", ""category"": ""dairy-eggs"", ""name_hash"": ""42cc0494""}",t,migrated
psr-eb6cebab-0ab8-4288-9d07-88d6fc8d1ab8,lpc_qsid-1766440209116_craft-supplies_sid-w00e1nsm_33e62510,VS-CRA-COL-16E80C,f5af59aee89d8302defe4105ed2b4119,tid-a3813d7i,qsid-1766440209116,2026-04-30 20:51:47.011567,lpc,lpc,colorcraft,craft-supplies,v2,"{""sku"": ""qsid-1766440209116"", ""type"": ""lpc"", ""item_id"": ""sid-w00e1nsm"", ""category"": ""craft-supplies"", ""name_hash"": ""33e62510""}",t,migrated
psr-4e444942-408f-4515-bab3-f16e0c650611,lpc_qsid-1766530641097_hand-tools_sid-1yut8frb_48f79ca6,VS-HAN-CRA-FC1579,5ec75fb58c96237682334cdf03926405,tid-jcvzufq2,qsid-1766530641097,2026-04-30 20:51:47.011567,lpc,lpc,craftsman,hand-tools,v2,"{""sku"": ""qsid-1766530641097"", ""type"": ""lpc"", ""item_id"": ""sid-1yut8frb"", ""category"": ""hand-tools"", ""name_hash"": ""48f79ca6""}",t,migrated
psr-4477ca1f-bbf0-47b5-a74c-0442cdccac01,lpc_qsid-1766440209120_dresses_sid-3sexg849_fb0710e9,VS-DRE-CRA-F83E44,5dade288de7db9d572c7d533342ad393,tid-a3813d7i,qsid-1766440209120,2026-04-30 20:51:47.011567,lpc,lpc,craftythreads,dresses,v2,"{""sku"": ""qsid-1766440209120"", ""type"": ""lpc"", ""item_id"": ""sid-3sexg849"", ""category"": ""dresses"", ""name_hash"": ""fb0710e9""}",t,migrated
psr-51775277-6a09-4944-ad93-90ee3ea02d33,lpc_qsid-1766440209121_kids-crafts_sid-7kampmnl_d9d0fa25,VS-KID-CRA-C56E8C,add43fbb3acb0a3d39353f5893a3c795,tid-a3813d7i,qsid-1766440209121,2026-04-30 20:51:47.011567,lpc,lpc,crayola,kids-crafts,v2,"{""sku"": ""qsid-1766440209121"", ""type"": ""lpc"", ""item_id"": ""sid-7kampmnl"", ""category"": ""kids-crafts"", ""name_hash"": ""d9d0fa25""}",t,migrated
psr-cb55af46-d674-43e0-a0ab-f7e743d719d3,lpc_qsid-1766436571330_books-media_sid-ee4b09c4_e15ae83a,VS-BOO-CUR-FE27E7,eb6005d0b4b20b6eeffde69634ac0421,tid-jcvzufq2,qsid-1766436571330,2026-04-30 20:51:47.011567,lpc,lpc,currency,books-media,v2,"{""sku"": ""qsid-1766436571330"", ""type"": ""lpc"", ""item_id"": ""sid-ee4b09c4"", ""category"": ""books-media"", ""name_hash"": ""e15ae83a""}",t,migrated
psr-19c443a3-6e59-49ed-b9c9-69ce3005bccd,lpc_APPAREL-SK-ATH_apparel-accessories-clothing-t-shirts_csid-wej421uc_72f51795,VS-APP-DEM-F81B81,bc4ea283f692c578133c039ee0422c1e,tid-r6cccpag,APPAREL-SK-ATH,2026-04-30 20:51:47.011567,lpc,lpc,demo-brand,apparel-accessoriesgeneralclothinggeneralt-shirts,v2,"{""sku"": ""APPAREL-SK-ATH"", ""type"": ""lpc"", ""item_id"": ""csid-wej421uc"", ""category"": ""apparel-accessories-clothing-t-shirts"", ""name_hash"": ""72f51795""}",t,migrated
