id,tenant_id,source_location_id,target_location_id,sku,quantity,status,initiated_by,initiated_at,approved_by,approved_at,shipped_by,shipped_at,received_by,received_at,cancelled_by,cancelled_at,notes,metadata,tracking_number,estimated_arrival,created_at,updated_at
sched-R4KG-nvlworkku,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 09:20:26.304,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 09:20:26.304,2026-05-02 09:20:26.304
sched-R4KG-prdmq2iyj,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 09:20:34.959,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 09:20:34.959,2026-05-02 09:20:34.959
sched-R4KG-6khb8d3w2,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 09:24:48.629,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 09:24:48.629,2026-05-02 09:24:48.629
sched-R4KG-3oc1lmkbb,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,approved,uid-li9gr,2026-05-02 09:24:52.689,uid-li9gr,2026-05-02 09:24:55.442,,,,,,,Admin approval for test transfer,{},,,2026-05-02 09:24:52.689,2026-05-02 09:24:52.689
sched-R4KG-nzyd1erq8,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 09:25:07.539,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 09:25:07.539,2026-05-02 09:25:07.539
sched-R4KG-2dkl0xyim,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 09:37:24.074,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 09:37:24.074,2026-05-02 09:37:24.074
sched-R4KG-u8acbju3r,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,approved,uid-li9gr,2026-05-02 09:37:26.841,uid-li9gr,2026-05-02 09:37:29.297,,,,,,,Admin approval for test transfer,{},,,2026-05-02 09:37:26.841,2026-05-02 09:37:26.841
sched-R4KG-m9oxznf2z,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 09:37:37.967,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 09:37:37.967,2026-05-02 09:37:37.967
sched-R4KG-iqjxdta28,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 10:37:38.287,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 10:37:38.287,2026-05-02 10:37:38.287
sched-R4KG-lfuvhqufm,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,approved,uid-li9gr,2026-05-02 10:37:41.269,uid-li9gr,2026-05-02 10:37:43.769,,,,,,,Admin approval for test transfer,{},,,2026-05-02 10:37:41.269,2026-05-02 10:37:41.269
sched-R4KG-tybcfkzb7,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 10:37:53.025,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 10:37:53.025,2026-05-02 10:37:53.025
sched-R4KG-2l3mtg18x,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 10:59:49.999,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 10:59:49.999,2026-05-02 10:59:49.999
sched-R4KG-frc2nnb3s,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,approved,uid-li9gr,2026-05-02 10:59:52.766,uid-li9gr,2026-05-02 10:59:55.035,,,,,,,Admin approval for test transfer,{},,,2026-05-02 10:59:52.766,2026-05-02 10:59:52.766
sched-R4KG-hs9j4orcj,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 11:00:04.219,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 11:00:04.219,2026-05-02 11:00:04.219
sched-R4KG-b2rthl86n,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 11:03:53.045,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 11:03:53.045,2026-05-02 11:03:53.045
sched-R4KG-tlc0t6paf,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,approved,uid-li9gr,2026-05-02 11:03:55.865,uid-li9gr,2026-05-02 11:03:58.229,,,,,,,Admin approval for test transfer,{},,,2026-05-02 11:03:55.865,2026-05-02 11:03:55.865
sched-R4KG-8oyco9yp8,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 11:04:08.239,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 11:04:08.239,2026-05-02 11:04:08.239
sched-R4KG-v6el1bfed,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 11:06:12.46,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 11:06:12.46,2026-05-02 11:06:12.46
sched-R4KG-ljtbrfpeq,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,approved,uid-li9gr,2026-05-02 11:06:15.159,uid-li9gr,2026-05-02 11:06:17.457,,,,,,,Admin approval for test transfer,{},,,2026-05-02 11:06:15.159,2026-05-02 11:06:15.159
sched-R4KG-7jniv5odk,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,approved,uid-li9gr,2026-05-02 11:06:19.453,uid-li9gr,2026-05-02 11:06:21.759,,,,,,,Admin approval for test transfer,{},,,2026-05-02 11:06:19.453,2026-05-02 11:06:19.453
sched-R4KG-g5lutaexg,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 11:06:31.546,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 11:06:31.546,2026-05-02 11:06:31.546
sched-R4KG-hx6iz4hwk,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 11:11:34.405,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 11:11:34.405,2026-05-02 11:11:34.405
sched-R4KG-l50e7vl4v,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,approved,uid-li9gr,2026-05-02 11:11:37.115,uid-li9gr,2026-05-02 11:11:39.364,,,,,,,Admin approval for test transfer,{},,,2026-05-02 11:11:37.115,2026-05-02 11:11:37.115
sched-R4KG-3ykf8e78q,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 11:11:48.724,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 11:11:48.724,2026-05-02 11:11:48.724
sched-R4KG-n40oz63ne,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 11:12:20.711,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 11:12:20.711,2026-05-02 11:12:20.711
sched-R4KG-ehaxqgks5,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 11:15:05.594,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 11:15:05.594,2026-05-02 11:15:05.594
sched-R4KG-wexl0415y,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,approved,uid-li9gr,2026-05-02 11:12:23.477,uid-li9gr,2026-05-02 11:12:25.759,,,,,,,Admin approval for test transfer,{},,,2026-05-02 11:12:23.477,2026-05-02 11:12:23.477
sched-R4KG-ud74ay19t,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 11:12:39.691,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 11:12:39.691,2026-05-02 11:12:39.691
sched-R4KG-eulzjl2c8,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,approved,uid-li9gr,2026-05-02 11:12:27.745,uid-li9gr,2026-05-02 11:12:30.029,,,,,,,Admin approval for test transfer,{},,,2026-05-02 11:12:27.745,2026-05-02 11:12:27.745
sched-R4KG-28i6z5d0i,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,approved,uid-li9gr,2026-05-02 11:15:08.386,uid-li9gr,2026-05-02 11:15:10.708,,,,,,,Admin approval for test transfer,{},,,2026-05-02 11:15:08.386,2026-05-02 11:15:08.386
sched-R4KG-0er784z4n,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 11:15:25.366,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 11:15:25.366,2026-05-02 11:15:25.366
sched-R4KG-661kwt0zo,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,shipped,uid-li9gr,2026-05-02 11:15:12.728,uid-li9gr,2026-05-02 11:15:15.023,uid-li9gr,2026-05-02 11:15:17.368,,,,,Shipped via standard delivery,{},TRK123456789,2026-05-04 11:15:15.342,2026-05-02 11:15:12.728,2026-05-02 11:15:12.728
sched-R4KG-z5zwyy8xt,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 11:18:46.026,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 11:18:46.026,2026-05-02 11:18:46.026
sched-R4KG-w4m1t2qvs,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,approved,uid-li9gr,2026-05-02 11:18:48.78,uid-li9gr,2026-05-02 11:18:51.105,,,,,,,Admin approval for test transfer,{},,,2026-05-02 11:18:48.78,2026-05-02 11:18:48.78
sched-R4KG-agjzcxzq1,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 11:19:00.9,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 11:19:00.9,2026-05-02 11:19:00.9
sched-R4KG-1du29gm2v,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 11:19:22.044,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 11:19:22.044,2026-05-02 11:19:22.044
sched-R4KG-wu0z2pyib,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,approved,uid-li9gr,2026-05-02 11:19:24.808,uid-li9gr,2026-05-02 11:19:27.168,,,,,,,Admin approval for test transfer,{},,,2026-05-02 11:19:24.808,2026-05-02 11:19:24.808
sched-R4KG-16a7dqbbj,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,shipped,uid-li9gr,2026-05-02 11:19:29.206,uid-li9gr,2026-05-02 11:19:31.527,uid-li9gr,2026-05-02 11:19:33.885,,,,,Shipped via standard delivery,{},TRK123456789,2026-05-04 11:19:31.849,2026-05-02 11:19:29.206,2026-05-02 11:19:29.206
sched-R4KG-jvwmw3rj5,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 11:19:42.319,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 11:19:42.319,2026-05-02 11:19:42.319
sched-R4KG-jopll9ag2,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 11:21:10.226,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 11:21:10.226,2026-05-02 11:21:10.226
sched-R4KG-aaew97k1u,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,approved,uid-li9gr,2026-05-02 11:21:12.991,uid-li9gr,2026-05-02 11:21:15.356,,,,,,,Admin approval for test transfer,{},,,2026-05-02 11:21:12.991,2026-05-02 11:21:12.991
sched-R4KG-4e0owmftp,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 11:21:25.11,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 11:21:25.11,2026-05-02 11:21:25.11
sched-R4KG-12mzzdq8c,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,received,uid-li9gr,2026-05-02 11:23:59.349,uid-li9gr,2026-05-02 11:24:51.756,uid-li9gr,2026-05-02 11:25:49.247,uid-li9gr,2026-05-02 11:26:29.998,,,Received in good condition,"{""variance"": 0, ""actualQuantity"": 25}",TRK123456789,2026-05-04 11:24:51.756,2026-05-02 11:23:59.349,2026-05-02 11:23:59.349
sched-R4KG-ik4du6n4h,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,10,received,uid-li9gr,2026-05-02 11:30:52.245,uid-li9gr,2026-05-02 11:31:51.321,uid-li9gr,2026-05-02 11:32:52.216,uid-li9gr,2026-05-02 11:34:23.601,,,Received successfully,"{""variance"": 0, ""actualQuantity"": 10}",TRK999,2026-05-04 11:31:51.321,2026-05-02 11:30:52.245,2026-05-02 11:30:52.245
sched-R4KG-6aih1479b,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 11:35:29.697,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 11:35:29.697,2026-05-02 11:35:29.697
sched-R4KG-kg9qcmzp1,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 11:35:41.599,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 11:35:41.599,2026-05-02 11:35:41.599
sched-R4KG-ukma4j1n1,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,pending,uid-li9gr,2026-05-02 11:36:05.147,,,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 11:36:05.147,2026-05-02 11:36:05.147
sched-R4KG-qoenn5f72,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,approved,uid-li9gr,2026-05-02 11:36:08.141,uid-li9gr,2026-05-02 11:36:10.476,,,,,,,Admin approval for test transfer,{},,,2026-05-02 11:36:08.141,2026-05-02 11:36:08.141
sched-R4KG-g3afiouzn,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,shipped,uid-li9gr,2026-05-02 11:36:12.586,uid-li9gr,2026-05-02 11:36:15.002,uid-li9gr,2026-05-02 11:36:17.402,,,,,Shipped via standard delivery,{},TRK123456789,2026-05-04 11:36:15.336,2026-05-02 11:36:12.586,2026-05-02 11:36:12.586
sched-R4KG-ek1ryhaf8,tid-042hi7ju,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,25,approved,uid-li9gr,2026-05-02 11:36:25.953,uid-li9gr,2026-05-05 03:03:10.106,,,,,,,Test transfer for cross-location inventory system,{},,,2026-05-02 11:36:25.953,2026-05-02 11:36:25.953
