id,category_id,category_path,parent_id,level,is_active,version,created_at,updated_at
gtl_4b575c2a-a793-4369-95fe-d5cce2845d5b,543684,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food > Non-prescription Cat Food,3367,5,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_925d4b49-4fee-45aa-a707-b75fcaca7fc5,543683,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Food > Prescription Cat Food,3367,5,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_809ccc35-5650-487b-b109-50278af30f83,4997,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Furniture,4,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_d08fe102-32cb-490a-9f85-87bf534c642c,500059,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Furniture Accessories,4,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_40387beb-197f-4f52-9848-d16271de3f1e,4999,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter,4,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_5bf85b1c-5681-45f2-94e4-49c437af1ab8,8069,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter Box Liners,4,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_2c35622c-7600-4cf3-a04b-194b73358f54,7142,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter Box Mats,4,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_70dc4a27-fa84-4498-b754-fd37ef70341b,5000,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Litter Boxes,4,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_d1db3760-f2b5-4d18-9848-ab4713f95cfb,5001,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Toys,4,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_35cc441b-f8a1-4dae-9681-b352f61c6b35,5002,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Treats,4,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_c0a93193-61b4-48b4-89e5-8625fabee796,5,Animals & Pet Supplies > Pet Supplies > Dog Supplies,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_a16434bc-8de0-423d-b22c-5bc771eb27fc,5004,Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Apparel,5,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_bf1ddc17-7858-4dd7-ba3d-caff0c0a2e36,4434,Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Beds,5,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_055c49f0-cd48-4d80-9e8f-08be452dad95,7372,Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Diaper Pads & Liners,5,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_5a3ab4b5-2ee9-41dd-9cd8-c3a140e3296a,499900,Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Diapers,5,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_dff7fc29-34fe-49a2-92a1-52f1d007cf54,3530,Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Food,5,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_baa74a2a-31bb-4ba4-8add-c3b59d3aedd6,543682,Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Food > Non-prescription Dog Food,3530,5,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_61240a12-65cb-4363-8c14-84b474ae5c1f,543681,Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Food > Prescription Dog Food,3530,5,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_855f2dc8-9ba6-4bd0-a018-93c0b84831b8,5094,Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Houses,5,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_2856ef32-2af6-447f-a492-0652351a3a4b,7428,Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Kennel & Run Accessories,5,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_8ccf900f-f254-4545-ae4d-d8b98933246c,7274,Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Kennels & Runs,5,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_d2e6c8a5-e4fb-4cfb-9c75-555877639fea,5010,Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Toys,5,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_d4fe50c7-d70c-42cf-b09b-fd821999c996,8123,Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Treadmills,5,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_8541273c-0325-48b3-aba1-51830e12ecd3,5011,Animals & Pet Supplies > Pet Supplies > Dog Supplies > Dog Treats,5,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_cc374c1b-0e82-4efc-963c-c24e8defb7e5,6,Animals & Pet Supplies > Pet Supplies > Fish Supplies,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_aafde7df-b110-4e81-a528-a9c33aa6a48f,505303,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium & Pond Tubing,6,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_e95d2d79-fb90-4822-beaa-a0c35865278a,505307,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Air Stones & Diffusers,6,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_5cf15b1a-a491-48e8-9187-ad64b386b7af,500038,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Cleaning Supplies,6,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_baf4dcfa-5a82-4190-8aab-ed9c0ad69d06,5019,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Decor,6,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_94c2c2c7-289b-4d4b-8cfc-023e3c04de99,5020,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Filters,6,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_cd3fbcd6-515e-4114-a589-11966f486225,505306,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Fish Nets,6,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_eab89272-a8a7-4442-b9bf-7c74e7d69324,5021,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Gravel & Substrates,6,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_79997ba1-87fa-49f2-b9a7-29060518ae49,5079,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Lighting,6,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_52d28d91-d095-4a52-85a2-fa438cb58d83,6951,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Overflow Boxes,6,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_f2d4e69b-c9cd-4602-87b7-97e00de0a956,5023,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Stands,6,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_bb41e85b-fb27-4431-b400-7cc78e53059e,500062,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Temperature Controllers,6,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_10f79449-6936-4f53-9e90-fd41de622e24,5161,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquarium Water Treatments,6,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_d140732e-dda8-4937-9b0a-e7e90a89a181,3238,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquariums,6,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_1eb98daa-7741-4b8a-a014-a38021c4de79,6085,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Aquatic Plant Fertilizers,6,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_cf6ceeb5-f190-4c55-ba7d-9e46e7fe42d2,6403,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Fish Feeders,6,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_410eb756-c59e-4977-b495-21db0bfccc6f,5024,Animals & Pet Supplies > Pet Supplies > Fish Supplies > Fish Food,6,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_47da3153-3087-4fd2-afe8-45b4ace6e38a,6983,Animals & Pet Supplies > Pet Supplies > Pet Agility Equipment,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_3f2f0acc-aa4a-4aa3-be4a-2ff300941ed8,6811,Animals & Pet Supplies > Pet Supplies > Pet Apparel Hangers,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_39efdbfd-6e57-4693-ba56-4ce6131d3732,500084,Animals & Pet Supplies > Pet Supplies > Pet Bed Accessories,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_91547733-820b-4fc2-a280-0c414a92e21a,5092,Animals & Pet Supplies > Pet Supplies > Pet Bells & Charms,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_06f6430d-9ee6-4a27-ad4a-3a78039cc8a8,6978,Animals & Pet Supplies > Pet Supplies > Pet Biometric Monitors,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_197c5ee2-e6bf-4643-83d8-9382ab5b0cb3,6980,Animals & Pet Supplies > Pet Supplies > Pet Biometric Monitors > Pet Glucose Meters,6978,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_62249f39-1577-4921-b26d-20ac9e7a89ec,6982,Animals & Pet Supplies > Pet Supplies > Pet Biometric Monitors > Pet Pedometers,6978,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_ddcf7520-d4a8-4d86-8f8b-2080630f68fd,6981,Animals & Pet Supplies > Pet Supplies > Pet Biometric Monitors > Pet Thermometers,6978,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_b3fc6c8d-ead4-468e-9ac1-b2ccbc19efc0,7143,Animals & Pet Supplies > Pet Supplies > Pet Bowl Mats,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_d14afb7a-b536-44e4-be50-97877fceb95e,8513,Animals & Pet Supplies > Pet Supplies > Pet Bowl Stands,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_7095cad0-bb1c-4953-b389-eb2c0e0b6af1,6252,"Animals & Pet Supplies > Pet Supplies > Pet Bowls, Feeders & Waterers",2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_1b126038-16dc-4d86-85d6-c607dc2a4ccc,500026,Animals & Pet Supplies > Pet Supplies > Pet Carrier & Crate Accessories,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_ba3bcc23-f0f4-458c-9aca-74200297f1ec,6251,Animals & Pet Supplies > Pet Supplies > Pet Carriers & Crates,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_35368375-8393-4ddc-8530-ae37baa3215f,6250,Animals & Pet Supplies > Pet Supplies > Pet Collars & Harnesses,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_30ce02ea-bd3c-4b66-b9fe-2bc94406e731,6321,Animals & Pet Supplies > Pet Supplies > Pet Containment Systems,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_3a6b2b31-74c5-45e6-a4d8-707fb5a44efc,505811,Animals & Pet Supplies > Pet Supplies > Pet Door Accessories,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_28f0922d-7c10-476f-9a6c-0fafe6d17cde,4497,Animals & Pet Supplies > Pet Supplies > Pet Doors,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_0401bb68-7f79-4451-a41f-1dcf8f431fe6,8050,Animals & Pet Supplies > Pet Supplies > Pet Eye Drops & Lubricants,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_bb83d021-832b-40b1-9bf9-c890cc0908c0,8068,Animals & Pet Supplies > Pet Supplies > Pet First Aid & Emergency Kits,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_6a0329de-feaa-4c57-b493-4d918338103a,6248,Animals & Pet Supplies > Pet Supplies > Pet Flea & Tick Control,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_d43e6eb9-492e-4a82-ac7f-6e0dc5bae8ca,5162,Animals & Pet Supplies > Pet Supplies > Pet Food Containers,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_20dad802-a572-49bd-b1ee-ceb84e62dc4b,5163,Animals & Pet Supplies > Pet Supplies > Pet Food Scoops,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_a8e594b0-40fc-40f1-a3e0-b0be01b1b1bf,6383,Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_2c83867f-a97f-4b94-8e89-8bddb383b213,6385,Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies > Pet Combs & Brushes,6383,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_5543ef6c-4f65-40f1-9afc-d2af6fe367e3,503733,Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies > Pet Fragrances & Deodorizing Sprays,6383,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_4ba5bc40-57fa-4ab5-b35f-006fb59203ed,6384,Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies > Pet Hair Clippers & Trimmers,6383,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_510e3e91-14e2-4a89-88e0-658d9e982e48,8167,Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies > Pet Hair Dryers,6383,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_e39e9618-fd5c-4e10-b886-d7a0c4caf970,7318,Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies > Pet Nail Polish,6383,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_23377be4-8b9e-47dd-b2e3-c5f77bc79971,7319,Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies > Pet Nail Tools,6383,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_6d39e272-b165-4a14-ab69-46d99b1ff7bb,6406,Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies > Pet Shampoo & Conditioner,6383,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_cda19961-2e33-4b77-839b-39c70ae8e958,499917,Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies > Pet Wipes,6383,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_c503c32d-5f96-438f-89b1-1443b23aceab,500110,Animals & Pet Supplies > Pet Supplies > Pet Heating Pad Accessories,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_301ef61e-4e90-4372-9a1d-ecc86826df83,499743,Animals & Pet Supplies > Pet Supplies > Pet Heating Pads,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_0d0656a3-13f6-4b82-9147-ee3baa4c50f4,5093,Animals & Pet Supplies > Pet Supplies > Pet ID Tags,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_89b55830-9589-47ce-83ca-d949af52c3ca,6253,Animals & Pet Supplies > Pet Supplies > Pet Leash Extensions,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_2be31624-72f4-424d-99f6-82be7fbc683b,6249,Animals & Pet Supplies > Pet Supplies > Pet Leashes,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_225f1829-fad4-484b-8a7b-db30b53cda26,5145,Animals & Pet Supplies > Pet Supplies > Pet Medical Collars,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_a051d267-2324-44a9-9c1b-15bc28ef27fb,6861,Animals & Pet Supplies > Pet Supplies > Pet Medical Tape & Bandages,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_51140159-cb2a-418a-93b7-b8bd2058c33e,5086,Animals & Pet Supplies > Pet Supplies > Pet Medicine,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_1e39b5f8-dffc-44a7-8b9d-f9427a9298fb,5144,Animals & Pet Supplies > Pet Supplies > Pet Muzzles,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_70977a67-c144-4721-9941-4b78bab993cc,7144,Animals & Pet Supplies > Pet Supplies > Pet Oral Care Supplies,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_fe4d3538-20a4-43b7-b91e-ea60d55bcba1,5087,Animals & Pet Supplies > Pet Supplies > Pet Playpens,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_1e241fde-9133-4ecf-a9c8-80435d319cce,6973,Animals & Pet Supplies > Pet Supplies > Pet Steps & Ramps,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_ce05b1f3-0d5d-4e3a-b76f-cf1bdad6e261,6276,Animals & Pet Supplies > Pet Supplies > Pet Strollers,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_ab561695-8dbb-4886-b373-270334cd2e6a,7396,Animals & Pet Supplies > Pet Supplies > Pet Sunscreen,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_5c5f9831-b1b6-4025-b550-f71b0aa3a62e,505314,Animals & Pet Supplies > Pet Supplies > Pet Training Aids,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_e8873674-637d-4222-8699-ea7891818bee,505313,Animals & Pet Supplies > Pet Supplies > Pet Training Aids > Pet Training Clickers & Treat Dispensers,505314,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_c017d4ed-1533-45ca-839f-1b6a75cc916f,505304,Animals & Pet Supplies > Pet Supplies > Pet Training Aids > Pet Training Pad Holders,505314,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_d30c11d7-e79f-474a-b93f-cbfcb7297aba,6846,Animals & Pet Supplies > Pet Supplies > Pet Training Aids > Pet Training Pads,505314,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_94a2cfc2-74ac-4e07-9c60-78a25ae27040,505311,Animals & Pet Supplies > Pet Supplies > Pet Training Aids > Pet Training Sprays & Solutions,505314,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_24c42d8c-68d4-4e40-b11a-ea66f5eaa221,5081,Animals & Pet Supplies > Pet Supplies > Pet Vitamins & Supplements,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_3c459936-e7e3-4bef-b615-fb25ccfda7fa,502982,Animals & Pet Supplies > Pet Supplies > Pet Waste Bag Dispensers & Holders,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_aa388213-4aa1-431d-8a7b-a964d8d5bde5,8070,Animals & Pet Supplies > Pet Supplies > Pet Waste Bags,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_82e1dee3-819e-4b37-9406-db1cf0d1eeb7,505297,Animals & Pet Supplies > Pet Supplies > Pet Waste Disposal Systems & Tools,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_600a8969-4276-4250-8e75-df0ceae07fcf,7,Animals & Pet Supplies > Pet Supplies > Reptile & Amphibian Supplies,2,3,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_b7bb4201-7f81-482e-9ca1-d7ede431c553,5026,Animals & Pet Supplies > Pet Supplies > Reptile & Amphibian Supplies > Reptile & Amphibian Food,7,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_b83229f6-1157-4e4b-b774-ee72173f8ffa,5027,Animals & Pet Supplies > Pet Supplies > Reptile & Amphibian Supplies > Reptile & Amphibian Habitat Accessories,7,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
gtl_cd719c54-9c03-4215-b1f6-13d2a3c43666,5028,Animals & Pet Supplies > Pet Supplies > Reptile & Amphibian Supplies > Reptile & Amphibian Habitat Heating & Lighting,7,4,t,2021-09-21,2026-03-26 13:26:44.423092+00,2026-03-26 13:26:44.423092+00
