id,product_slug,universal_sku,name,brand,category_path,gtin_upc,description,specifications,images,status,source,catalog_metadata,created_at,updated_at
gpc-66bfa2b8-72af-476d-8668-53cd1ee60de3,fragrance/chanel-chanel-n°5-eau-de-parfum-spray-100ml-d6c027,VS-FRA-CHA-9A4E9F,Chanel N°5 Eau de Parfum Spray 100ml,Chanel,{fragrance},,"A timeless, legendary fragrance presented in an iconic bottle.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-yrkd470n/products/iid-pbhq13h0/original-1765527112746.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766439434277"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-a3813d7i""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-0714d892-c191-4533-a760-9115a799b105,seasonings-and-spices/checkers-checkers-vanilla-custard-4cdc68,VS-SEA-CHE-180F8D,Checkers Vanilla Custard,Checkers,{seasonings-and-spices},,"Delight in the smooth, aromatic flavor of Checkers Vanilla Custard, a premium custard powder that blends effortlessly with milk to create creamy, velvety desserts. Perfect for families, bakers, and dessert lovers alike.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-042hi7ju/R4KG-PHYS-SHIP-PUBL-3ZF6/1774603020403.png"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""R4KG-PHYS-SHIP-PUBL-3ZF6"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-042hi7ju""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-2b4ef097-81b1-4087-91ee-4a66ba6153f4,"dairy-eggs/chobani-greek-yogurt,-strawberry,-5.3-oz-d70264",VS-DAI-CHO-41A5D3,"Greek Yogurt, Strawberry, 5.3 oz",Chobani,{dairy-eggs},,A single-serving cup of creamy Greek yogurt with real strawberry pieces.,,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-m11e6ur7/products/i-frm5d1c8/original-1765232540786.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766436467811"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-jcvzufq2""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-70e7efa1-2a7f-4b0c-9e46-6eec3b1ff98f,craft-supplies/colorcraft-acrylic-paint-set-24-colors-(12ml-tubes)-217ef7,VS-CRA-COL-16E80C,Acrylic Paint Set 24 Colors (12ml Tubes),ColorCraft,{craft-supplies},,"A comprehensive set of 24 vibrant acrylic paints in 12ml tubes, perfect for beginners and professionals.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-m8ijkrnk/products/sid-sv5spaa6/original-1766440405719.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766440209116"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-a3813d7i""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-f0d102ad-b1c6-4f59-a220-c15be6f133a3,hand-tools/craftsman-craftsman-16-oz-fiberglass-claw-hammer-7de4b4,VS-HAN-CRA-FC1579,Craftsman 16 oz Fiberglass Claw Hammer,Craftsman,{hand-tools},,"A durable, lightweight hammer designed for a variety of home improvement tasks.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/chain_location_1766071991129_0/products/sid-q1emw6pv/original-1766112521799.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766530641097"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-jcvzufq2""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-fe55a40e-b881-47e3-b16c-2af83a8847fd,dresses/craftythreads-100-pack-assorted-embroidery-floss-96e7d4,VS-DRE-CRA-F83E44,100-Pack Assorted Embroidery Floss,CraftyThreads,{dresses},,"A vibrant collection of 100 assorted colors of high-quality embroidery floss, ideal for crafting, friendship bracelets, and more.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-m8ijkrnk/products/sid-ytgf3vv5/original-1766440479463.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766440209120"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-a3813d7i""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-bf067e91-c4ca-4e70-80b1-8e673e32321c,"kids-crafts/crayola-crayola-washable-kids-paint,-6-count-19772e",VS-KID-CRA-C56E8C,"Crayola Washable Kids Paint, 6 Count",Crayola,{kids-crafts},,A set of 6 washable kids' paints in vibrant colors.,,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-m8ijkrnk/products/sid-071div8t/original-1766440494245.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766440209121"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-a3813d7i""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-cc73e6cc-4fe2-4d3c-8935-5fc8cf43cdb8,"books-media/currency-the-art-of-innovation:-lessons-in-creativity-from-ideo,-america's-leading-design-firm-0a86bf",VS-BOO-CUR-FE27E7,"The Art of Innovation: Lessons in Creativity from IDEO, America's Leading Design Firm",Currency,{books-media},,A deep dive into the principles and practices of one of the most innovative design firms in the world.,,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-v84j50g0/products/i-oa5elf7k/original-1765116104166.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766436571330"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-jcvzufq2""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-9a933477-e5e8-4013-b97c-456c47ef2174,bakery/delightful-bakes-gluten-free-chocolate-chip-muffins--4-pack-842438,VS-BAK-DEL-4133BD,Gluten-Free Chocolate Chip Muffins - 4 pack,Delightful Bakes,{bakery},,"Moist and fluffy muffins packed with chocolate chips, perfect for those with gluten sensitivities.",,"[{""url"": ""https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-m11e6ur7/products/i-zprb23yc/original-1765232763650.jpg"", ""type"": ""primary""}]",active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""qsid-1766436467817"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-jcvzufq2""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-c3b1e783-12e4-4298-8e4e-0926372c78bc,apparel & accessories/demo-brand-athletic-socks--6-pack-bd7658,VS-APP-DEM-F81B81,Athletic Socks - 6 Pack,Demo Brand,"{""Apparel & Accessories"",Clothing,T-Shirts}",,"Moisture-wicking athletic socks, 6-pack",,,active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""APPAREL-SK-ATH"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-r6cccpag""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-d90b4790-ab71-4543-b484-2c3c93ea88a3,home & garden/demo-brand-bamboo-cutting-board-set-05e704,VS-HOM-DEM-416C32,Bamboo Cutting Board Set,Demo Brand,"{""Home & Garden"",""Kitchen & Dining"",""Kitchen Tools""}",,Eco-friendly bamboo cutting boards in 3 sizes,,,active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""KITCHEN-CB-BAM"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-r6cccpag""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-0a121847-a206-4390-8bdf-8fe962822738,apparel & accessories/demo-brand-baseball-cap--adjustable-1a170c,VS-APP-DEM-92E633,Baseball Cap - Adjustable,Demo Brand,"{""Apparel & Accessories"",Clothing,T-Shirts}",,Classic baseball cap with adjustable strap,,,active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""APPAREL-CAP-BB"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-r6cccpag""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-c1d18cdf-8272-4b09-a851-9feb40c51400,sports & fitness/demo-brand-camping-tent--4-person-7aa606,VS-SPO-DEM-D3348C,Camping Tent - 4 Person,Demo Brand,"{""Sports & Fitness"",""Sports & Outdoors"",""Fitness Equipment""}",,Waterproof camping tent with easy setup,,,active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""OUTDOOR-TN-4P"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-r6cccpag""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-3729d991-e859-446c-91a4-908574fd79fd,home & garden/demo-brand-coffee-maker--12-cup-8f6325,VS-HOM-DEM-FD25D3,Coffee Maker - 12 Cup,Demo Brand,"{""Home & Garden"",""Kitchen & Dining"",""Kitchen Tools""}",,Programmable coffee maker with auto-brew timer,,,active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""KITCHEN-CM-12"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-r6cccpag""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-e6f819c5-a0aa-4741-94f8-3dcfc3072826,apparel & accessories/demo-brand-cotton-t-shirt--unisex-7ec00a,VS-APP-DEM-720498,Cotton T-Shirt - Unisex,Demo Brand,"{""Apparel & Accessories"",Clothing,T-Shirts}",,"100% organic cotton t-shirt, available in multiple colors",,,active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""APPAREL-TS-UNI"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-r6cccpag""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-56ee5e2d-9fee-43d8-b47f-ea93e5c80e79,office supplies/demo-brand-desk-organizer-set-ab4427,VS-OFF-DEM-AA84A4,Desk Organizer Set,Demo Brand,"{""Office Supplies"",""Writing Instruments"",Pens}",,Bamboo desk organizer with multiple compartments,,,active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""OFFICE-DO-SET"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-r6cccpag""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-58073e31-4942-42de-92a4-bb40865c2c5d,home & garden/demo-brand-electric-kettle-1.7l-eefc0c,VS-HOM-DEM-7CEF3C,Electric Kettle 1.7L,Demo Brand,"{""Home & Garden"",""Kitchen & Dining"",""Kitchen Tools""}",,Fast-boiling electric kettle with auto shut-off,,,active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""KITCHEN-EK-17"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-r6cccpag""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-80f6aace-eca1-4918-bb4c-1c651b51c947,office supplies/demo-brand-gel-pen-set--12-colors-aa1b38,VS-OFF-DEM-E05376,Gel Pen Set - 12 Colors,Demo Brand,"{""Office Supplies"",""Writing Instruments"",Pens}",,Smooth-writing gel pens in assorted colors,,,active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""OFFICE-GP-12C"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-r6cccpag""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-854b2644-292e-4c74-974b-726d93a2c338,sports & fitness/demo-brand-hiking-backpack-40l-15d854,VS-SPO-DEM-83D8F1,Hiking Backpack 40L,Demo Brand,"{""Sports & Fitness"",""Sports & Outdoors"",""Fitness Equipment""}",,Durable hiking backpack with multiple compartments,,,active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""OUTDOOR-BP-40L"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-r6cccpag""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-4175df57-18dc-4ff9-92da-e0c9f4f68a0c,apparel & accessories/demo-brand-hoodie--pullover-54b8cc,VS-APP-DEM-BF9DB6,Hoodie - Pullover,Demo Brand,"{""Apparel & Accessories"",Clothing,T-Shirts}",,Comfortable pullover hoodie with front pocket,,,active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""APPAREL-HD-PO"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-r6cccpag""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-5445d0e0-139c-4341-9312-237a69dd553b,office supplies/demo-brand-led-desk-lamp-dd632e,VS-OFF-DEM-6DC9CF,LED Desk Lamp,Demo Brand,"{""Office Supplies"",""Writing Instruments"",Pens}",,Adjustable LED desk lamp with USB charging port,,,active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""OFFICE-DL-LED"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-r6cccpag""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-d5ddc3f1-f9e4-478f-9bff-4fbebc451b0a,home & garden/demo-brand-non-stick-cookware-set-311660,VS-HOM-DEM-3247C0,Non-Stick Cookware Set,Demo Brand,"{""Home & Garden"",""Kitchen & Dining"",""Kitchen Tools""}",,10-piece non-stick cookware set with glass lids,,,active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""KITCHEN-CW-SET"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-r6cccpag""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-1b70775c-9bf2-4a85-a84d-84bd07ac790c,office supplies/demo-brand-notebook-set--hardcover-ecb7cc,VS-OFF-DEM-D7B41B,Notebook Set - Hardcover,Demo Brand,"{""Office Supplies"",""Writing Instruments"",Pens}",,Set of 3 hardcover notebooks with lined pages,,,active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""OFFICE-NB-HC"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-r6cccpag""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-9d1b485d-283d-4f36-8e34-426c7aa282ca,electronics/demo-brand-portable-power-bank-20000mah-6ed5b0,VS-ELE-DEM-B0FB66,Portable Power Bank 20000mAh,Demo Brand,"{Electronics,Audio,Headphones}",,High-capacity power bank with dual USB ports,,,active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""POWER-PB-20K"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-r6cccpag""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-fe4eab9c-5175-4bdd-a96e-6ef43844cdac,sports & fitness/demo-brand-resistance-bands-set-a2ed53,VS-SPO-DEM-4D8185,Resistance Bands Set,Demo Brand,"{""Sports & Fitness"",""Sports & Outdoors"",""Fitness Equipment""}",,Set of 5 resistance bands with different strengths,,,active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""SPORTS-RB-SET"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-r6cccpag""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-f82f60cc-a99f-4639-82eb-8c970c53826c,apparel & accessories/demo-brand-running-shoes--athletic-1ff4a7,VS-APP-DEM-59C698,Running Shoes - Athletic,Demo Brand,"{""Apparel & Accessories"",Clothing,T-Shirts}",,Lightweight running shoes with cushioned sole,,,active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""APPAREL-SH-RUN"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-r6cccpag""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-e175cb8d-255e-4a6d-8380-ed9577d1c14a,apparel/demo-brand-hoodie--pullover-321fdd,VS-APP-DEM-80FD08,Hoodie - Pullover,Demo Brand,{Apparel},,Comfortable pullover hoodie with front pocket,,,active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""APPAREL-HD-PO"", ""migration_source"": ""mv_global_discovery"", ""original_tenant_id"": ""tid-r6cccpag""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-d3d6a8ae-a0ba-4e3f-8aad-98e2a55b1899,electronics/demo-brand-smart-watch--fitness-tracker-3d8518,VS-ELE-DEM-82FA83,Smart Watch - Fitness Tracker,Demo Brand,"{Electronics,Audio,Headphones}",,Track your fitness goals with heart rate monitoring and GPS,,,active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""WEAR-SW-FIT"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-r6cccpag""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-56643e3e-5ed8-4dea-817c-497041af92a5,home & garden/demo-brand-stainless-steel-water-bottle-32oz-32d7c8,VS-HOM-DEM-7A6464,Stainless Steel Water Bottle 32oz,Demo Brand,"{""Home & Garden"",""Kitchen & Dining"",""Kitchen Tools""}",,Insulated water bottle keeps drinks cold for 24 hours,,,active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""HOME-WB-32"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-r6cccpag""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
gpc-8c263019-6224-4a95-92ab-7f428d86fac9,electronics/demo-brand-usb-c-fast-charger-65w-1e9a28,VS-ELE-DEM-EA4A08,USB-C Fast Charger 65W,Demo Brand,"{Electronics,Audio,Headphones}",,"Universal fast charger compatible with laptops, tablets, and phones",,,active,merchant,"{""migrated_at"": ""2026-04-30T20:51:47.011567+00:00"", ""original_sku"": ""POWER-UC-065"", ""migration_source"": ""inventory_items"", ""original_tenant_id"": ""tid-r6cccpag""}",2026-04-30 20:51:47.011567,2026-04-30 20:51:47.011567
