id,name,slug,description,google_category_id,parent_id,level,icon_emoji,sort_order,is_active,is_featured,created_at,updated_at,gcid
cat_dfc29c80-51c2-43f5-8b7f-07d02d79289a,Candy Store,candy-store,Candy Store - Business category for candy store,gcid:candy-store,,0,🏬,580,t,f,2025-12-03 22:40:04.914+00,2026-01-07 19:42:38.274596+00,gcid:candy_store
cat_b5c96656-a709-4ea6-ae75-b0ff36f9deb9,Cane Furniture Store,cane-furniture-store,Cane Furniture Store - Business category for cane furniture store,gcid:cane-furniture-store,,0,🏬,590,t,f,2025-12-03 22:40:05.14+00,2026-01-07 19:42:38.274596+00,gcid:cane_furniture_store
cat_86857f11-976f-4854-aeb8-21ec212e7933,Canoe And Kayak Store,canoe-and-kayak-store,Canoe And Kayak Store - Business category for canoe and kayak store,gcid:canoe-and-kayak-store,,0,🏬,610,t,f,2025-12-03 22:40:05.563+00,2026-01-07 19:42:38.274596+00,gcid:canoe_and_kayak_store
cat_de84903f-cf0d-4c42-8055-a79e5e94b48e,Car Accessories Store,car-accessories-store,Car Accessories Store - Business category for car accessories store,gcid:car-accessories-store,,0,🏬,620,t,f,2025-12-03 22:40:05.77+00,2026-01-07 19:42:38.274596+00,gcid:car_accessories_store
cat_861e5c95-8de9-4fed-8ae4-d8118d9ee082,Car Battery Store,car-battery-store,Car Battery Store - Business category for car battery store,gcid:car-battery-store,,0,🏬,630,t,f,2025-12-03 22:40:05.985+00,2026-01-07 19:42:38.274596+00,gcid:car_battery_store
cat_a0e254c8-66f4-4408-ac84-3dc74feefd0f,Car Stereo Store,car-stereo-store,Car Stereo Store - Business category for car stereo store,gcid:car-stereo-store,,0,🏬,640,t,f,2025-12-03 22:40:06.188+00,2026-01-07 19:42:38.274596+00,gcid:car_stereo_store
cat_f6eea5ec-f4be-4f52-8a8e-11068b0ea0c7,Carpet Store,carpet-store,Carpet Store - Business category for carpet store,gcid:carpet-store,,0,🏬,650,t,f,2025-12-03 22:40:06.409+00,2026-01-07 19:42:38.274596+00,gcid:carpet_store
cat_f6b539a5-01d5-4d68-b479-e6ff3aeba7f8,Cattle Market,cattle-market,Cattle Market - Business category for cattle market,gcid:cattle-market,,0,🐈,660,t,f,2025-12-03 22:16:50.101+00,2026-01-07 19:42:38.274596+00,gcid:cattle_market
cat_6a98c6f2-b516-4e59-aefe-0acbd636e184,Cell Phone Accessory Store,cell-phone-accessory-store,Cell Phone Accessory Store - Business category for cell phone accessory store,gcid:cell-phone-accessory-store,,0,🏬,680,t,f,2025-12-03 22:40:06.853+00,2026-01-07 19:42:38.274596+00,gcid:cell_phone_accessory_store
cat_7228f806-adac-45e6-840a-236e73ef17a5,Cell Phone Store,cell-phone-store,Cell Phone Store - Business category for cell phone store,gcid:cell-phone-store,,0,🏬,690,t,f,2025-12-03 22:40:07.054+00,2026-01-07 19:42:38.274596+00,gcid:cell_phone_store
cat_04b89816-511e-4c23-896d-abddadba7cd4,Childrens Book Store,childrens-book-store,Childrens Book Store - Business category for childrens book store,gcid:childrens-book-store,,0,🏬,700,t,f,2025-12-03 22:40:07.278+00,2026-01-07 19:42:38.274596+00,gcid:childrens_book_store
cat_0c63e3e2-d928-461e-b0d6-972aa051ae4b,Childrens Clothing Store,childrens-clothing-store,Childrens Clothing Store - Business category for childrens clothing store,gcid:childrens-clothing-store,,0,🏬,710,t,f,2025-12-03 22:40:07.486+00,2026-01-07 19:42:38.274596+00,gcid:childrens_clothing_store
cat_4dd0dfa3-b341-4253-b40d-66315b1a2a21,Childrens Furniture Store,childrens-furniture-store,Childrens Furniture Store - Business category for childrens furniture store,gcid:childrens-furniture-store,,0,🏬,720,t,f,2025-12-03 22:40:07.698+00,2026-01-07 19:42:38.274596+00,gcid:childrens_furniture_store
cat_701e8dc7-17ec-4606-b6ad-cec11bf0604a,Childrens Store,childrens-store,Childrens Store - Business category for childrens store,gcid:childrens-store,,0,🏬,730,t,f,2025-12-03 22:40:07.911+00,2026-01-07 19:42:38.274596+00,gcid:childrens_store
cat_b60755dc-d961-4c98-a02d-518727d39448,Chinaware Store,chinaware-store,Chinaware Store - Business category for chinaware store,gcid:chinaware-store,,0,🏬,740,t,f,2025-12-03 22:40:08.125+00,2026-01-07 19:42:38.274596+00,gcid:chinaware_store
cat_205c43b8-7741-49b1-8891-e1d4880bed0b,Christian Book Store,christian-book-store,Christian Book Store - Business category for christian book store,gcid:christian-book-store,,0,🏬,770,t,f,2025-12-03 22:40:08.551+00,2026-01-07 19:42:38.274596+00,gcid:christian_book_store
cat_195ef7be-4a0a-4336-ba99-76e42c53f655,Christmas Market,christmas-market,Christmas Market - Business category for christmas market,gcid:christmas-market,,0,🏪,780,t,f,2025-12-03 22:16:50.583+00,2026-01-07 19:42:38.274596+00,gcid:christmas_market
cat_571c1a55-127c-4c84-9df4-512bd287398c,Christmas Store,christmas-store,Christmas Store - Business category for christmas store,gcid:christmas-store,,0,🏬,790,t,f,2025-12-03 22:40:08.771+00,2026-01-07 19:42:38.274596+00,gcid:christmas_store
cat_c072d340-7ad5-48fa-8d4a-3f6eb3e6a2ac,Church Supply Store,church-supply-store,Church Supply Store - Business category for church supply store,gcid:church-supply-store,,0,🏬,800,t,f,2025-12-03 22:40:09.008+00,2026-01-07 19:42:38.274596+00,gcid:church_supply_store
cat_35f6e72b-96d8-4fdc-a8e5-436de99c231d,Clothing Store,clothing-store,Clothing Store - Business category for clothing store,gcid:clothing-store,,0,🏬,820,t,f,2025-12-03 22:40:09.233+00,2026-01-07 19:42:38.274596+00,gcid:clothing_store
cat_7f95218e-7cd8-4748-95ed-b8d7956ac1dd,Clothing Wholesale Market Place,clothing-wholesale-market-place,Clothing Wholesale Market Place - Business category for clothing wholesale market place,gcid:clothing-wholesale-market-place,,0,👕,830,t,f,2025-12-03 22:16:51.089+00,2026-01-07 19:42:38.274596+00,gcid:clothing_wholesale_market_place
cat_340b96fb-7223-4b1a-a755-1b80d42449a8,Coffee Store,coffee-store,Coffee Store - Business category for coffee store,gcid:coffee-store,,0,☕,840,t,f,2025-12-03 22:40:09.446+00,2026-01-07 19:42:38.274596+00,gcid:coffee_store
cat_935b8dbd-55c1-462c-b07b-be804226fbc6,Cold Cut Store,cold-cut-store,Cold Cut Store - Business category for cold cut store,gcid:cold-cut-store,,0,🏬,850,t,f,2025-12-03 22:40:09.669+00,2026-01-07 19:42:38.274596+00,gcid:cold_cut_store
cat_e77e48b5-6f59-4a1b-9539-0162f81c0b1f,Collectibles Store,collectibles-store,Collectibles Store - Business category for collectibles store,gcid:collectibles-store,,0,🏬,860,t,f,2025-12-03 22:40:09.879+00,2026-01-07 19:42:38.274596+00,gcid:collectibles_store
cat_594a2ee3-1067-4adc-bd65-9cbb7be1213a,Comic Book Store,comic-book-store,Comic Book Store - Business category for comic book store,gcid:comic-book-store,,0,🏬,870,t,f,2025-12-03 22:40:10.108+00,2026-01-07 19:42:38.274596+00,gcid:comic_book_store
cat_9b796184-09b6-4b14-8652-2f9c577441e1,Computer Accessories Store,computer-accessories-store,Computer Accessories Store - Business category for computer accessories store,gcid:computer-accessories-store,,0,🏬,880,t,f,2025-12-03 22:40:10.316+00,2026-01-07 19:42:38.274596+00,gcid:computer_accessories_store
cat_0bc8ef4a-d360-448c-9fbb-225a94730fad,Computer Desk Store,computer-desk-store,Computer Desk Store - Business category for computer desk store,gcid:computer-desk-store,,0,🏬,890,t,f,2025-12-03 22:40:10.548+00,2026-01-07 19:42:38.274596+00,gcid:computer_desk_store
cat_7b2da78c-14bd-43a1-9786-0491acd2221f,Computer Software Store,computer-software-store,Computer Software Store - Business category for computer software store,gcid:computer-software-store,,0,🏬,900,t,f,2025-12-03 22:40:10.752+00,2026-01-07 19:42:38.274596+00,gcid:computer_software_store
cat_150963f7-96be-41e2-8269-90d8972587c1,Computer Store,computer-store,Computer Store - Business category for computer store,gcid:computer-store,,0,🏬,910,t,f,2025-12-03 22:40:10.97+00,2026-01-07 19:42:38.274596+00,gcid:computer_store
cat_02991dfd-1f46-4bb4-a9a2-8d19cfedc489,Copying Supply Store,copying-supply-store,Copying Supply Store - Business category for copying supply store,gcid:copying-supply-store,,0,🏬,930,t,f,2025-12-03 22:40:11.435+00,2026-01-07 19:42:38.274596+00,gcid:copying_supply_store
cat_8ef6c7b5-fdde-4735-9e86-f15e5861d848,Cosmetics Store,cosmetics-store,Cosmetics Store - Business category for cosmetics store,gcid:cosmetics-store,,0,🏬,940,t,f,2025-12-03 22:40:11.64+00,2026-01-07 19:42:38.274596+00,gcid:cosmetics_store
cat_76f0dfb7-6a42-4f8a-a7e5-2f075d25dbe4,Costume Store,costume-store,Costume Store - Business category for costume store,gcid:costume-store,,0,🏬,950,t,f,2025-12-03 22:40:11.857+00,2026-01-07 19:42:38.274596+00,gcid:costume_store
cat_08f858a8-a980-4b1a-b572-a0d301326362,Countertop Store,countertop-store,Countertop Store - Business category for countertop store,gcid:countertop-store,,0,🏬,960,t,f,2025-12-03 22:40:12.069+00,2026-01-07 19:42:38.274596+00,gcid:countertop_store
cat_602e6968-b2a5-4b78-a55f-235f369cd31a,Craft Store,craft-store,Craft Store - Business category for craft store,gcid:craft-store,,0,🏬,970,t,f,2025-12-03 22:40:12.29+00,2026-01-07 19:42:38.274596+00,gcid:craft_store
cat_7e634577-30e5-41aa-b669-d5635ecd2b92,Cured Ham Store,cured-ham-store,Cured Ham Store - Business category for cured ham store,gcid:cured-ham-store,,0,🏬,980,t,f,2025-12-03 22:40:12.494+00,2026-01-07 19:42:38.274596+00,gcid:cured_ham_store
cat_3345f15c-50a3-468d-b0b6-165062e6e624,Curtain Store,curtain-store,Curtain Store - Business category for curtain store,gcid:curtain-store,,0,🏬,990,t,f,2025-12-03 22:40:12.724+00,2026-01-07 19:42:38.274596+00,gcid:curtain_store
cat_047cf835-54ca-4f84-a8ea-1cbac5be5026,Custom Confiscated Goods Store,custom-confiscated-goods-store,Custom Confiscated Goods Store - Business category for custom confiscated goods store,gcid:custom-confiscated-goods-store,,0,🏬,1000,t,f,2025-12-03 22:39:25.66+00,2026-01-07 19:42:38.274596+00,gcid:custom_confiscated_goods_store
cat_e3d75ee1-28b3-42e5-b13f-1c2f51567d3e,Custom T Shirt Store,custom-t-shirt-store,Custom T Shirt Store - Business category for custom t shirt store,gcid:custom-t-shirt-store,,0,🏬,1010,t,f,2025-12-03 22:40:13.202+00,2026-01-07 19:42:38.274596+00,gcid:custom_t_shirt_store
cat_648a9101-ee0a-4368-8b56-849632c8a934,Cutlery Store,cutlery-store,Cutlery Store - Business category for cutlery store,gcid:cutlery-store,,0,🏬,1020,t,f,2025-12-03 22:40:13.501+00,2026-01-07 19:42:38.274596+00,gcid:cutlery_store
cat_e2674f89-4dd0-4c74-9426-dc7f360b1547,Dairy Store,dairy-store,Dairy Store - Business category for dairy store,gcid:dairy-store,,0,🏬,1030,t,f,2025-12-03 22:40:13.723+00,2026-01-07 19:42:38.274596+00,gcid:dairy_store
cat_a141f888-c3db-4493-8b21-6523ce11e798,Dance Store,dance-store,Dance Store - Business category for dance store,gcid:dance-store,,0,🏬,1040,t,f,2025-12-03 22:40:13.94+00,2026-01-07 19:42:38.274596+00,gcid:dance_store
cat_955d2d24-c9c0-40ff-85d8-d69c7d33df29,Dart Supply Store,dart-supply-store,Dart Supply Store - Business category for dart supply store,gcid:dart-supply-store,,0,🏬,1050,t,f,2025-12-03 22:40:14.141+00,2026-01-07 19:42:38.274596+00,gcid:dart_supply_store
cat_20639a72-ff48-42cc-980f-b4f1f1eee6b8,Denim Wear Store,denim-wear-store,Denim Wear Store - Business category for denim wear store,gcid:denim-wear-store,,0,🏬,1060,t,f,2025-12-03 22:40:14.359+00,2026-01-07 19:42:38.274596+00,gcid:denim_wear_store
cat_655a0c48-f504-46eb-a7b1-1c1420e4ab38,Dental Supply Store,dental-supply-store,Dental Supply Store - Business category for dental supply store,gcid:dental-supply-store,,0,🏬,1070,t,f,2025-12-03 22:40:14.572+00,2026-01-07 19:42:38.274596+00,gcid:dental_supply_store
cat_62130f60-c638-41a6-8134-b323d25d776a,Department Store,department-store,Department Store - Business category for department store,gcid:department-store,,0,🏬,1080,t,f,2025-12-03 22:40:14.788+00,2026-01-07 19:42:38.274596+00,gcid:department_store
