id,invoice_id,gateway_type,transaction_id,amount_cents,status,failure_reason,created_at
pay-tid-042hi7ju-moi9wsco,inv-tid-042hi7ju-moi9wsco,paypal,I-HY9R4MYJ0A4W,9900,completed,,2026-04-28 06:57:03.624+00
pay-tid-042hi7ju-moi9wsfm,inv-tid-042hi7ju-moi9wsfm,paypal,I-HY9R4MYJ0A4W,9900,completed,,2026-04-28 06:57:03.73+00
pay-tid-042hi7ju-moi9x1an,inv-tid-042hi7ju-moi9x1an,paypal,I-HY9R4MYJ0A4W,9900,completed,,2026-04-28 06:57:15.215+00
pay-tid-042hi7ju-moi9x1b7,inv-tid-042hi7ju-moi9x1b7,paypal,I-HY9R4MYJ0A4W,9900,completed,,2026-04-28 06:57:15.235+00
pay-tid-042hi7ju-moi9xats,inv-tid-042hi7ju-moi9xats,paypal,I-HY9R4MYJ0A4W,9900,completed,,2026-04-28 06:57:27.568+00
pay-tid-042hi7ju-moi9xatq,inv-tid-042hi7ju-moi9xatq,paypal,I-HY9R4MYJ0A4W,9900,completed,,2026-04-28 06:57:27.566+00
pay-tid-042hi7ju-moiafdka,inv-tid-042hi7ju-moiafdk9,paypal,I-SX4D430JYRA8,5900,completed,,2026-04-28 07:11:30.921+00
spay-inv-tid-042hi7ju-jrwfwh-hafm,inv-tid-042hi7ju-jrwfwh,stripe,sub_1TR5pYQnZRZo6S8ozzueRPot,9900,succeeded,,2026-04-28 07:13:21.639+00
pay-tid-jcvzufq2-moilnlfg,inv-tid-jcvzufq2-moilnlfd,paypal,I-F4WBMJKST1FS,19900,completed,,2026-04-28 12:25:50.137+00
spay-inv-tid-m8ijkrnk-ipx336-1fgh,inv-tid-m8ijkrnk-ipx336,stripe,sub_1TRCNLQnZRZo6S8oYCeGmiEF,9900,succeeded,,2026-04-28 14:12:42.66+00
spay-inv-tid-m8ijkrnk-tvyvrj-scg6,inv-tid-m8ijkrnk-tvyvrj,stripe,sub_1TREPMQnZRZo6S8oY3kxKucd,19900,succeeded,,2026-04-28 16:22:53.797+00
spay-inv-tid-r6cccpag-2s044e-5nub,inv-tid-r6cccpag-2s044e,stripe,sub_1TRgtAQnZRZo6S8o7GtqOJHV,9900,succeeded,,2026-04-29 22:47:35.056+00
spay-inv-tid-r6cccpag-npoz1s-mypr,inv-tid-r6cccpag-npoz1s,stripe,sub_1TRh0bQnZRZo6S8oCfZzi2eP,19900,succeeded,,2026-04-29 22:55:15.832+00
spay-inv-tid-mrsyk3w6-hqwhop-kam2,inv-tid-mrsyk3w6-hqwhop,stripe,sub_1TSFNQQnZRZo6S8o7gKIUy4h,19900,succeeded,,2026-05-01 11:37:07.763+00
spay-inv-tid-8622qs2t-6jrmsa-t2en,inv-tid-8622qs2t-6jrmsa,stripe,sub_1TSOjBQnZRZo6S8ourTuY2xL,19900,succeeded,,2026-05-01 21:36:13.959+00
