id,tenantId,name,slug,parentId,googleCategoryId,isActive,sortOrder,createdAt,updatedAt
tid-a3813d7i_pantry-staples,tid-a3813d7i,Pantry Staples,pantry-staples,,7000,t,7,2026-02-28 01:23:04.53,2026-02-28 01:23:04.528
scid-tid-lt2t1wzu-af22hn,tid-lt2t1wzu,Juice,juice,,Juice,t,0,2026-03-08 23:57:41.218,2026-03-08 23:57:41.217
scid-tid-m8ijkrnk-rnsfkc,tid-m8ijkrnk,Cameras amp; Optics,cameras-and-optics,,141,t,0,2026-03-23 17:11:32.815,2026-03-23 17:11:32.811
scid-tid-qki0mjdb-zj45ut,tid-qki0mjdb,Baby Safety,baby-safety,,540,t,0,2026-03-23 20:18:05.77,2026-03-23 20:18:05.769
scid-tid-qki0mjdb-7clcko,tid-qki0mjdb,Backpacks,backpacks,,100,t,0,2026-03-25 17:38:01.02,2026-03-25 17:38:01.019
scid-tid-qki0mjdb-c38kiz,tid-qki0mjdb,Bed Canopies,bed-canopies,,505803,t,0,2026-03-25 17:43:30.918,2026-03-25 17:43:30.917
scid-tid-qki0mjdb-j9ylhx,tid-qki0mjdb,Books & Media,books-media,,543543,t,4,2026-03-25 22:46:49.678,2026-03-25 22:46:49.675
scid-tid-qki0mjdb-ax6fuf,tid-qki0mjdb,Home & Garden,home-garden,,3221,t,0,2026-03-25 22:46:51.213,2026-03-25 22:46:51.211
scid-tid-qki0mjdb-90bq7h,tid-qki0mjdb,Meat & Seafood,meat-seafood,,5813,t,2,2026-03-25 22:46:52.347,2026-03-25 22:46:52.345
scid-tid-qki0mjdb-whsjkk,tid-qki0mjdb,Bakery,bakery,,5904,t,3,2026-03-25 22:46:53.489,2026-03-25 22:46:53.486
scid-tid-qki0mjdb-isqzik,tid-qki0mjdb,Hand Tools,hand-tools,,6965,t,0,2026-03-25 22:46:54.656,2026-03-25 22:46:54.654
tid-r6cccpag_dairy-eggs,tid-r6cccpag,Dairy & Eggs,dairy-eggs,,543554,t,0,2025-12-22 20:47:47.826,2025-12-22 20:47:47.825
scid-tid-qki0mjdb-spxyu8,tid-qki0mjdb,Dairy & Eggs,dairy-eggs,,543554,t,0,2026-03-25 22:46:56.832,2026-03-25 22:46:56.829
scid-tid-qki0mjdb-h4nkf0,tid-qki0mjdb,Health & Beauty,health-beauty,,6261,t,1,2026-03-25 22:46:58.565,2026-03-25 22:46:58.563
scid-tid-qki0mjdb-t7lykk,tid-qki0mjdb,Electrical,electrical,,499932,t,4,2026-03-25 22:46:59.712,2026-03-25 22:46:59.71
scid-tid-qki0mjdb-66rbu6,tid-qki0mjdb,Storage Furniture,storage-furniture,,6358,t,4,2026-03-25 22:47:00.884,2026-03-25 22:47:00.881
scid-tid-qki0mjdb-oat4q2,tid-qki0mjdb,Bedroom,bedroom,,4437,t,1,2026-03-25 22:47:02.048,2026-03-25 22:47:02.045
scid-tid-qki0mjdb-f006vm,tid-qki0mjdb,Frozen Foods,frozen-foods,,499991,t,4,2026-03-25 22:47:04.212,2026-03-25 22:47:04.209
scid-tid-qki0mjdb-5yg688,tid-qki0mjdb,Toys & Games,toys-games,,1246,t,3,2026-03-25 22:47:05.417,2026-03-25 22:47:05.414
scid-tid-qki0mjdb-vykcte,tid-qki0mjdb,Sports & Outdoors,sports-outdoors,,499687,t,2,2026-03-25 22:47:08.565,2026-03-25 22:47:08.562
scid-tid-mrsyk3w6-2x4dy7,tid-mrsyk3w6,Books & Media,books-media,,543543,t,4,2026-03-26 01:21:10.61,2026-03-26 01:21:10.609
scid-tid-veid875z-3kqijj,tid-veid875z,Books & Media,books-media,,543543,t,4,2026-03-26 01:21:12.993,2026-03-26 01:21:12.991
scid-tid-a3813d7i-azlvx7,tid-a3813d7i,Books & Media,books-media,,543543,t,4,2026-03-26 01:21:15.096,2026-03-26 01:21:15.095
scid-tid-mrsyk3w6-mc0zs6,tid-mrsyk3w6,Home & Garden,home-garden,,3221,t,0,2026-03-26 01:21:19.903,2026-03-26 01:21:19.901
scid-tid-veid875z-0ulf97,tid-veid875z,Home & Garden,home-garden,,3221,t,0,2026-03-26 01:21:22.001,2026-03-26 01:21:21.999
scid-tid-a3813d7i-2zc953,tid-a3813d7i,Home & Garden,home-garden,,3221,t,0,2026-03-26 01:21:24.167,2026-03-26 01:21:24.166
scid-tid-veid875z-2spfwf,tid-veid875z,Meat & Seafood,meat-seafood,,5813,t,2,2026-03-26 01:21:30.723,2026-03-26 01:21:30.722
scid-tid-veid875z-5arzdg,tid-veid875z,Bakery,bakery,,5904,t,3,2026-03-26 01:21:39.066,2026-03-26 01:21:39.064
scid-tid-veid875z-mj99xy,tid-veid875z,Hand Tools,hand-tools,,6965,t,0,2026-03-26 01:21:47.436,2026-03-26 01:21:47.435
scid-tid-a3813d7i-hb83cj,tid-a3813d7i,Hand Tools,hand-tools,,6965,t,0,2026-03-26 01:21:49.535,2026-03-26 01:21:49.534
scid-tid-mrsyk3w6-e4rh3r,tid-mrsyk3w6,Office Furniture,office-furniture,,6521,t,2,2026-03-26 01:21:54.42,2026-03-26 01:21:54.419
scid-tid-veid875z-k2exxm,tid-veid875z,Office Furniture,office-furniture,,6521,t,2,2026-03-26 01:21:56.515,2026-03-26 01:21:56.514
scid-tid-a3813d7i-ikrgoj,tid-a3813d7i,Office Furniture,office-furniture,,6521,t,2,2026-03-26 01:21:58.603,2026-03-26 01:21:58.601
scid-tid-veid875z-iy1m9s,tid-veid875z,Dairy & Eggs,dairy-eggs,,543554,t,0,2026-03-26 01:22:04.834,2026-03-26 01:22:04.833
scid-tid-mrsyk3w6-b1a577,tid-mrsyk3w6,Health & Beauty,health-beauty,,6261,t,1,2026-03-26 01:22:10.47,2026-03-26 01:22:10.469
scid-tid-veid875z-xxrxgn,tid-veid875z,Health & Beauty,health-beauty,,6261,t,1,2026-03-26 01:22:12.68,2026-03-26 01:22:12.679
scid-tid-8622qs2t-vxliif,tid-8622qs2t,Dairy & Eggs,dairy-eggs,,543554,t,0,2026-03-26 01:22:08.72,2026-03-26 01:22:08.719
scid-tid-8622qs2t-sn4avc,tid-8622qs2t,Hand Tools,hand-tools,,6965,t,0,2026-03-26 01:21:52.257,2026-03-26 01:21:52.256
scid-tid-8622qs2t-i6rpt7,tid-8622qs2t,Office Furniture,office-furniture,,6521,t,2,2026-03-26 01:22:01.329,2026-03-26 01:22:01.327
scid-tid-8622qs2t-b94vkd,tid-8622qs2t,Meat & Seafood,meat-seafood,,5813,t,2,2026-03-26 01:21:35.176,2026-03-26 01:21:35.175
scid-tid-8622qs2t-cf1sc0,tid-8622qs2t,Bakery,bakery,,5904,t,3,2026-03-26 01:21:43.606,2026-03-26 01:21:43.605
scid-tid-8622qs2t-mcyh08,tid-8622qs2t,Books & Media,books-media,,543543,t,4,2026-03-26 01:21:17.815,2026-03-26 01:21:17.814
ccid-fpiksg,tid-mrsyk3w6,Electronics,electronics,,,t,0,2026-01-10 15:38:05.848,2026-01-10 15:38:05.846
ccid-g7tt08,tid-mrsyk3w6,Home & Kitchen,home-kitchen,,,t,0,2026-01-10 15:38:06.201,2026-01-10 15:38:06.199
ccid-u77ivu,tid-mrsyk3w6,Apparel,apparel,,,t,0,2026-01-10 15:38:06.552,2026-01-10 15:38:06.55
ccid-7hf1tu,tid-mrsyk3w6,Sports & Outdoors,sports-outdoors,,,t,0,2026-01-10 15:38:06.898,2026-01-10 15:38:06.896
ccid-qwnmt9,tid-mrsyk3w6,Office Supplies,office-supplies,,,t,0,2026-01-10 15:38:07.24,2026-01-10 15:38:07.238
scid-tid-m8ijkrnk-m51zjc,tid-m8ijkrnk,Clothing,clothing,,1604,t,0,2026-01-31 03:34:02.535,2026-01-31 03:34:02.532
tid-a3813d7i_otc-medicine,tid-a3813d7i,Over-the-Counter Medicine,otc-medicine,,5086,t,0,2026-02-28 01:25:52.813,2026-02-28 01:25:52.812
tid-r6cccpag_produce,tid-r6cccpag,Produce,produce,,503759,t,1,2025-12-22 20:47:48.199,2025-12-22 20:47:48.198
tid-r6cccpag_meat-seafood,tid-r6cccpag,Meat & Seafood,meat-seafood,,5813,t,2,2025-12-22 20:47:48.562,2025-12-22 20:47:48.561
tid-a3813d7i_vitamins-supplements,tid-a3813d7i,Vitamins & Supplements,vitamins-supplements,,525,t,1,2026-02-28 01:25:53.016,2026-02-28 01:25:53.014
tid-a3813d7i_first-aid,tid-a3813d7i,First Aid,first-aid,,543672,t,2,2026-02-28 01:25:53.207,2026-02-28 01:25:53.205
tid-a3813d7i_personal-care,tid-a3813d7i,Personal Care,personal-care,,7363,t,3,2026-02-28 01:25:53.391,2026-02-28 01:25:53.389
tid-a3813d7i_baby-care,tid-a3813d7i,Baby Care,baby-care,,547,t,4,2026-02-28 01:25:53.579,2026-02-28 01:25:53.576
tid-a3813d7i_eye-ear-care,tid-a3813d7i,Eye & Ear Care,eye-ear-care,,7363,t,5,2026-02-28 01:25:53.77,2026-02-28 01:25:53.769
scid-tid-lt2t1wzu-uc5tkd,tid-lt2t1wzu,Button Studs,button-studs,,,t,0,2026-03-19 02:41:49.277,2026-03-19 02:41:49.276
scid-tid-m8ijkrnk-vo6e90,tid-m8ijkrnk,Baby Toys amp; Activity Equipment,baby-toys-and-activity-equipment,,2847,t,0,2026-03-23 17:13:18.398,2026-03-23 17:13:18.395
cat-1774438254706-qfzsjdj9y,tid-qki0mjdb,Office Furniture,office-furniture,,6521,t,2,2026-03-25 11:30:54.709,2026-03-25 11:30:54.706
scid-tid-qki0mjdb-gtb6yp,tid-qki0mjdb,Tools,tools,,1167,t,0,2026-03-25 17:40:24.943,2026-03-25 17:40:24.942
tid-m8ijkrnk_womens-tops,tid-m8ijkrnk,Women's Tops,womens-tops,,212,t,0,2025-12-30 12:41:28.119,2025-12-30 12:41:28.118
tid-m8ijkrnk_womens-bottoms,tid-m8ijkrnk,Women's Bottoms,womens-bottoms,,6229,t,1,2025-12-30 12:41:28.452,2025-12-30 12:41:28.451
tid-m8ijkrnk_dresses,tid-m8ijkrnk,Dresses,dresses,,5330,t,2,2025-12-30 12:41:28.778,2025-12-30 12:41:28.777
tid-m8ijkrnk_mens-shirts,tid-m8ijkrnk,Men's Shirts,mens-shirts,,3794,t,3,2025-12-30 12:41:29.104,2025-12-30 12:41:29.104
tid-m8ijkrnk_mens-pants,tid-m8ijkrnk,Men's Pants,mens-pants,,3951,t,4,2025-12-30 12:41:29.427,2025-12-30 12:41:29.426
tid-m8ijkrnk_accessories,tid-m8ijkrnk,Accessories,accessories,,5623,t,5,2025-12-30 12:41:29.752,2025-12-30 12:41:29.751
tid-m8ijkrnk_shoes,tid-m8ijkrnk,Shoes,shoes,,5567,t,6,2025-12-30 12:41:30.075,2025-12-30 12:41:30.074
scid-tid-qki0mjdb-zklr4h,tid-qki0mjdb,Entertainment Centers amp; TV Stands,entertainment-centers-and-tv-stands,,457,t,0,2026-03-25 17:44:53.054,2026-03-25 17:44:53.052
scid-tid-qki0mjdb-htsr2v,tid-qki0mjdb,Produce,produce,,503759,t,1,2026-03-25 22:47:09.716,2026-03-25 22:47:09.714
scid-tid-qki0mjdb-qj3juq,tid-qki0mjdb,Paint & Supplies,paint-supplies,,328062,t,3,2026-03-25 22:47:10.997,2026-03-25 22:47:10.994
scid-tid-qki0mjdb-p5r24f,tid-qki0mjdb,Fasteners & Hardware,fasteners-hardware,,6145,t,2,2026-03-25 22:47:14.284,2026-03-25 22:47:14.28
scid-tid-qki0mjdb-qrgk88,tid-qki0mjdb,Living Room,living-room,,6348,t,0,2026-03-25 22:47:15.503,2026-03-25 22:47:15.5
scid-tid-qki0mjdb-88sxwu,tid-qki0mjdb,Power Tools,power-tools,,2629,t,1,2026-03-25 22:47:20.973,2026-03-25 22:47:20.969
scid-tid-a3813d7i-uk62ni,tid-a3813d7i,Health & Beauty,health-beauty,,6261,t,1,2026-03-26 01:22:15.318,2026-03-26 01:22:15.317
scid-tid-veid875z-tkpvi4,tid-veid875z,Electrical,electrical,,499932,t,4,2026-03-26 01:22:22.044,2026-03-26 01:22:22.043
scid-tid-a3813d7i-6ydi3o,tid-a3813d7i,Electrical,electrical,,499932,t,4,2026-03-26 01:22:24.209,2026-03-26 01:22:24.208
scid-tid-mrsyk3w6-eszawm,tid-mrsyk3w6,Storage Furniture,storage-furniture,,6358,t,4,2026-03-26 01:22:29.061,2026-03-26 01:22:29.06
scid-tid-veid875z-kyln2g,tid-veid875z,Storage Furniture,storage-furniture,,6358,t,4,2026-03-26 01:22:31.17,2026-03-26 01:22:31.167
scid-tid-a3813d7i-08m5bk,tid-a3813d7i,Storage Furniture,storage-furniture,,6358,t,4,2026-03-26 01:22:33.259,2026-03-26 01:22:33.258
tid-r6cccpag_bakery,tid-r6cccpag,Bakery,bakery,,5904,t,3,2025-12-22 20:47:48.922,2025-12-22 20:47:48.921
tid-r6cccpag_frozen-foods,tid-r6cccpag,Frozen Foods,frozen-foods,,499991,t,4,2025-12-22 20:47:49.281,2025-12-22 20:47:49.28
tid-r6cccpag_beverages,tid-r6cccpag,Beverages,beverages,,5887,t,5,2025-12-22 20:47:49.642,2025-12-22 20:47:49.641
tid-r6cccpag_snacks,tid-r6cccpag,Snacks,snacks,,2392,t,6,2025-12-22 20:47:50.002,2025-12-22 20:47:50.001
tid-r6cccpag_pantry-staples,tid-r6cccpag,Pantry Staples,pantry-staples,,7000,t,7,2025-12-22 20:47:50.366,2025-12-22 20:47:50.365
tid-m8ijkrnk_skincare,tid-m8ijkrnk,Skincare,skincare,,6261,t,0,2025-12-22 21:37:14.292,2025-12-22 21:37:14.291
tid-m8ijkrnk_haircare,tid-m8ijkrnk,Haircare,haircare,,499992,t,1,2025-12-22 21:37:14.671,2025-12-22 21:37:14.67
tid-m8ijkrnk_makeup,tid-m8ijkrnk,Makeup,makeup,,6306,t,2,2025-12-22 21:37:15.053,2025-12-22 21:37:15.052
tid-m8ijkrnk_fragrance,tid-m8ijkrnk,Fragrance,fragrance,,2747,t,3,2025-12-22 21:37:15.428,2025-12-22 21:37:15.427
tid-m8ijkrnk_mens-grooming,tid-m8ijkrnk,Men's Grooming,mens-grooming,,8531,t,4,2025-12-22 21:37:15.8,2025-12-22 21:37:15.799
scid-tid-mrsyk3w6-jijt80,tid-mrsyk3w6,Bedroom,bedroom,,4437,t,1,2026-03-26 01:22:38.066,2026-03-26 01:22:38.065
scid-tid-veid875z-4cc03h,tid-veid875z,Bedroom,bedroom,,4437,t,1,2026-03-26 01:22:40.238,2026-03-26 01:22:40.237
scid-tid-a3813d7i-ecd26u,tid-a3813d7i,Bedroom,bedroom,,4437,t,1,2026-03-26 01:22:42.326,2026-03-26 01:22:42.325
scid-tid-veid875z-5ab2wo,tid-veid875z,Frozen Foods,frozen-foods,,499991,t,4,2026-03-26 01:22:56.587,2026-03-26 01:22:56.586
scid-tid-mrsyk3w6-0rxxyq,tid-mrsyk3w6,Toys & Games,toys-games,,1246,t,3,2026-03-26 01:23:03.587,2026-03-26 01:23:03.586
scid-tid-veid875z-idkq1q,tid-veid875z,Toys & Games,toys-games,,1246,t,3,2026-03-26 01:23:05.677,2026-03-26 01:23:05.675
scid-tid-a3813d7i-eaxz9a,tid-a3813d7i,Toys & Games,toys-games,,1246,t,3,2026-03-26 01:23:07.775,2026-03-26 01:23:07.774
scid-tid-veid875z-hd2s1a,tid-veid875z,Sports & Outdoors,sports-outdoors,,499687,t,2,2026-03-26 01:23:27.339,2026-03-26 01:23:27.338
scid-tid-a3813d7i-plf1r8,tid-a3813d7i,Sports & Outdoors,sports-outdoors,,499687,t,2,2026-03-26 01:23:29.424,2026-03-26 01:23:29.423
scid-tid-8622qs2t-1ff6dq,tid-8622qs2t,Bedroom,bedroom,,4437,t,1,2026-03-26 01:22:45.07,2026-03-26 01:22:45.069
scid-tid-8622qs2t-tdneyz,tid-8622qs2t,Sports & Outdoors,sports-outdoors,,499687,t,2,2026-03-26 01:23:32.147,2026-03-26 01:23:32.145
scid-tid-8622qs2t-1sm1xk,tid-8622qs2t,Toys & Games,toys-games,,1246,t,3,2026-03-26 01:23:10.475,2026-03-26 01:23:10.474
scid-tid-8622qs2t-yh7te0,tid-8622qs2t,Electrical,electrical,,499932,t,4,2026-03-26 01:22:26.969,2026-03-26 01:22:26.968
scid-tid-8622qs2t-iylvcr,tid-8622qs2t,Storage Furniture,storage-furniture,,6358,t,4,2026-03-26 01:22:35.976,2026-03-26 01:22:35.975
scid-tid-8622qs2t-mxfijm,tid-8622qs2t,Frozen Foods,frozen-foods,,499991,t,4,2026-03-26 01:23:01.067,2026-03-26 01:23:01.065
tid-lt2t1wzu_dairy-eggs,tid-lt2t1wzu,Dairy & Eggs,dairy-eggs,,543554,t,0,2026-01-18 03:12:54.538,2026-01-18 03:12:54.531
tid-r6cccpag_home-garden,tid-r6cccpag,Home & Garden,home-garden,,3221,t,0,2025-12-22 20:49:31.338,2025-12-22 20:49:31.336
tid-lt2t1wzu_produce,tid-lt2t1wzu,Produce,produce,,503759,t,1,2026-01-18 03:12:54.744,2026-01-18 03:12:54.736
tid-lt2t1wzu_meat-seafood,tid-lt2t1wzu,Meat & Seafood,meat-seafood,,5813,t,2,2026-01-18 03:12:54.926,2026-01-18 03:12:54.918
tid-lt2t1wzu_bakery,tid-lt2t1wzu,Bakery,bakery,,5904,t,3,2026-01-18 03:12:55.102,2026-01-18 03:12:55.095
tid-lt2t1wzu_frozen-foods,tid-lt2t1wzu,Frozen Foods,frozen-foods,,499991,t,4,2026-01-18 03:12:55.277,2026-01-18 03:12:55.27
tid-lt2t1wzu_beverages,tid-lt2t1wzu,Beverages,beverages,,5887,t,5,2026-01-18 03:12:55.453,2026-01-18 03:12:55.446
tid-lt2t1wzu_snacks,tid-lt2t1wzu,Snacks,snacks,,2392,t,6,2026-01-18 03:12:55.629,2026-01-18 03:12:55.621
tid-lt2t1wzu_pantry-staples,tid-lt2t1wzu,Pantry Staples,pantry-staples,,7000,t,7,2026-01-18 03:12:55.838,2026-01-18 03:12:55.83
scid-tid-m8ijkrnk-5dtr8m,tid-m8ijkrnk,Apparel amp; Accessories,apparel-amp-accessories,,166,t,0,2026-01-31 04:32:49.004,2026-01-31 04:32:49
scid-tid-lt2t1wzu-kpixx5,tid-lt2t1wzu,Live Animals,live-animals,,3237,t,0,2026-03-03 05:20:13.68,2026-03-03 05:20:13.679
scid-tid-lt2t1wzu-idguqf,tid-lt2t1wzu,Hand Tools,hand-tools,,6965,t,0,2026-03-03 05:20:14.008,2026-03-03 05:20:14.007
scid-tid-lt2t1wzu-toftso,tid-lt2t1wzu,Clothing,clothing,,1604,t,0,2026-03-03 05:20:14.332,2026-03-03 05:20:14.33
scid-tid-lt2t1wzu-4a3nw8,tid-lt2t1wzu,Women's Tops,womens-tops,,212,t,0,2026-03-03 05:20:14.661,2026-03-03 05:20:14.659
scid-tid-lt2t1wzu-pn27r2,tid-lt2t1wzu,Skincare,skincare,,6261,t,0,2026-03-03 05:20:15.024,2026-03-03 05:20:15.022
scid-tid-lt2t1wzu-ocf4t7,tid-lt2t1wzu,Apparel amp; Accessories,apparel-amp-accessories,,166,t,0,2026-03-03 05:20:15.349,2026-03-03 05:20:15.347
tid-r6cccpag_health-beauty,tid-r6cccpag,Health & Beauty,health-beauty,,6261,t,1,2025-12-22 20:49:31.76,2025-12-22 20:49:31.759
scid-tid-lt2t1wzu-dj50pj,tid-lt2t1wzu,Drawing & Painting,drawing-painting,,500038,t,0,2026-03-03 05:20:15.685,2026-03-03 05:20:15.683
tid-042hi7ju_smartphones,tid-042hi7ju,Smartphones,smartphones,,543515,t,0,2025-12-31 11:32:03.002,2025-12-31 11:32:03.001
tid-r6cccpag_sports-outdoors,tid-r6cccpag,Sports & Outdoors,sports-outdoors,,499687,t,2,2025-12-22 20:49:32.111,2025-12-22 20:49:32.11
tid-r6cccpag_toys-games,tid-r6cccpag,Toys & Games,toys-games,,1246,t,3,2025-12-22 20:49:32.46,2025-12-22 20:49:32.459
tid-r6cccpag_books-media,tid-r6cccpag,Books & Media,books-media,,543543,t,4,2025-12-22 20:49:32.812,2025-12-22 20:49:32.81
tid-r6cccpag_office-supplies,tid-r6cccpag,Office Supplies,office-supplies,,543675,t,5,2025-12-22 20:49:33.161,2025-12-22 20:49:33.16
tid-m8ijkrnk_drawing-painting,tid-m8ijkrnk,Drawing & Painting,drawing-painting,,500038,t,0,2025-12-22 21:50:09.131,2025-12-22 21:50:09.13
tid-m8ijkrnk_craft-supplies,tid-m8ijkrnk,Craft Supplies,craft-supplies,,500038,t,1,2025-12-22 21:50:09.506,2025-12-22 21:50:09.505
tid-m8ijkrnk_sewing-fabric,tid-m8ijkrnk,Sewing & Fabric,sewing-fabric,,4579,t,2,2025-12-22 21:50:09.874,2025-12-22 21:50:09.873
tid-m8ijkrnk_kids-crafts,tid-m8ijkrnk,Kids Crafts,kids-crafts,,8168,t,3,2025-12-22 21:50:10.239,2025-12-22 21:50:10.238
tid-042hi7ju_laptops,tid-042hi7ju,Laptops,laptops,,6416,t,1,2025-12-31 11:32:03.358,2025-12-31 11:32:03.358
tid-042hi7ju_tablets,tid-042hi7ju,Tablets,tablets,,503002,t,2,2025-12-31 11:32:03.703,2025-12-31 11:32:03.702
tid-042hi7ju_accessories,tid-042hi7ju,Accessories,accessories,,4736,t,3,2025-12-31 11:32:04.048,2025-12-31 11:32:04.047
tid-042hi7ju_audio,tid-042hi7ju,Audio,audio,,503004,t,4,2025-12-31 11:32:04.392,2025-12-31 11:32:04.391
tid-042hi7ju_smart-home,tid-042hi7ju,Smart Home,smart-home,,3873,t,5,2025-12-31 11:32:04.737,2025-12-31 11:32:04.736
scid-tid-lt2t1wzu-i3wn3n,tid-lt2t1wzu,Arts amp; Entertainment,arts-amp-entertainment,,8,t,0,2026-03-03 05:20:16.018,2026-03-03 05:20:16.016
scid-tid-lt2t1wzu-pv0at5,tid-lt2t1wzu,Toys amp; Games,toys-amp-games,,1239,t,0,2026-03-03 05:20:16.35,2026-03-03 05:20:16.348
scid-tid-lt2t1wzu-mjxjco,tid-lt2t1wzu,Juggling,juggling,,Juggling,t,0,2026-03-03 05:20:16.68,2026-03-03 05:20:16.679
scid-tid-lt2t1wzu-kvvng8,tid-lt2t1wzu,Craft Supplies,craft-supplies,,500038,t,1,2026-03-03 05:20:17.022,2026-03-03 05:20:17.019
scid-tid-lt2t1wzu-jef5qg,tid-lt2t1wzu,Haircare,haircare,,499992,t,1,2026-03-03 05:20:17.368,2026-03-03 05:20:17.366
scid-tid-lt2t1wzu-l1at6o,tid-lt2t1wzu,Women's Bottoms,womens-bottoms,,6229,t,1,2026-03-03 05:20:17.7,2026-03-03 05:20:17.698
scid-tid-lt2t1wzu-tdwi6a,tid-lt2t1wzu,Power Tools,power-tools,,2629,t,1,2026-03-03 05:20:18.034,2026-03-03 05:20:18.032
scid-tid-lt2t1wzu-xfq6cu,tid-lt2t1wzu,Dresses,dresses,,5330,t,2,2026-03-03 05:20:18.366,2026-03-03 05:20:18.365
scid-tid-lt2t1wzu-usvgyk,tid-lt2t1wzu,Sewing & Fabric,sewing-fabric,,4579,t,2,2026-03-03 05:20:18.692,2026-03-03 05:20:18.69
scid-tid-lt2t1wzu-hc5nb2,tid-lt2t1wzu,Makeup,makeup,,6306,t,2,2026-03-03 05:20:19.031,2026-03-03 05:20:19.029
scid-tid-lt2t1wzu-y06y6z,tid-lt2t1wzu,Fasteners & Hardware,fasteners-hardware,,6145,t,2,2026-03-03 05:20:19.403,2026-03-03 05:20:19.401
scid-tid-lt2t1wzu-iplq80,tid-lt2t1wzu,Men's Shirts,mens-shirts,,3794,t,3,2026-03-03 05:20:19.796,2026-03-03 05:20:19.792
scid-tid-lt2t1wzu-wqbn8c,tid-lt2t1wzu,Fragrance,fragrance,,2747,t,3,2026-03-03 05:20:20.154,2026-03-03 05:20:20.153
scid-tid-lt2t1wzu-m1ywle,tid-lt2t1wzu,Paint & Supplies,paint-supplies,,328062,t,3,2026-03-03 05:20:20.545,2026-03-03 05:20:20.543
scid-tid-lt2t1wzu-lj3c7k,tid-lt2t1wzu,Kids Crafts,kids-crafts,,8168,t,3,2026-03-03 05:20:20.879,2026-03-03 05:20:20.878
scid-tid-lt2t1wzu-f1rd2t,tid-lt2t1wzu,Electrical,electrical,,499932,t,4,2026-03-03 05:20:21.213,2026-03-03 05:20:21.211
scid-tid-lt2t1wzu-noes75,tid-lt2t1wzu,Men's Pants,mens-pants,,3951,t,4,2026-03-03 05:20:21.552,2026-03-03 05:20:21.55
scid-tid-lt2t1wzu-tywazt,tid-lt2t1wzu,Men's Grooming,mens-grooming,,8531,t,4,2026-03-03 05:20:21.887,2026-03-03 05:20:21.884
