id,tenant_id,location_id,sku,event_type,quantity_before,quantity_after,source_event_id,triggered_by,triggered_at,processed_at,status,error_message,metadata
notif-R4KG-0d4wptdpo,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,25,0,sched-R4KG-16a7dqbbj,uid-li9gr,2026-05-02 11:19:29.701,,pending,,{}
notif-R4KG-fbvds4cxq,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,,,sched-R4KG-16a7dqbbj,uid-li9gr,2026-05-02 11:19:34.211,,pending,,{}
notif-R4KG-164ztb1ro,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,transfer_in,,,sched-R4KG-16a7dqbbj,uid-li9gr,2026-05-02 11:19:34.373,,pending,,{}
notif-R4KG-5pec9ujlj,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,75,50,sched-R4KG-jvwmw3rj5,uid-li9gr,2026-05-02 11:19:42.799,,pending,,{}
notif-R4KG-0v7fzw3r5,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,50,25,sched-R4KG-jopll9ag2,uid-li9gr,2026-05-02 11:21:10.733,,pending,,{}
notif-R4KG-dmm8iqi98,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,25,0,sched-R4KG-aaew97k1u,uid-li9gr,2026-05-02 11:21:13.49,,pending,,{}
notif-R4KG-uvsl1mbjp,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,75,50,sched-R4KG-4e0owmftp,uid-li9gr,2026-05-02 11:21:25.598,,pending,,{}
notif-R4KG-lpy046cz4,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,75,50,sched-R4KG-12mzzdq8c,uid-li9gr,2026-05-02 11:23:59.94,,pending,,{}
notif-R4KG-is4izzc5w,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,,,sched-R4KG-12mzzdq8c,uid-li9gr,2026-05-02 11:25:49.574,,pending,,{}
notif-R4KG-ew427otyj,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,transfer_in,,,sched-R4KG-12mzzdq8c,uid-li9gr,2026-05-02 11:25:49.742,,pending,,{}
notif-R4KG-y7lkvh338,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,50,40,sched-R4KG-ik4du6n4h,uid-li9gr,2026-05-02 11:30:52.726,,pending,,{}
notif-R4KG-o2vnkprfh,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,,,sched-R4KG-ik4du6n4h,uid-li9gr,2026-05-02 11:32:52.541,,pending,,{}
notif-R4KG-kqf49bkiy,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,transfer_in,,,sched-R4KG-ik4du6n4h,uid-li9gr,2026-05-02 11:32:52.715,,pending,,{}
notif-R4KG-ill4ur87h,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,transfer_in,,,sched-R4KG-ik4du6n4h,uid-li9gr,2026-05-02 11:34:23.918,,pending,,{}
notif-R4KG-3l1c2rug3,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,40,15,sched-R4KG-6aih1479b,uid-li9gr,2026-05-02 11:35:30.212,,pending,,{}
notif-R4KG-6y13mgwbb,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,75,50,sched-R4KG-kg9qcmzp1,uid-li9gr,2026-05-02 11:35:42.136,,pending,,{}
notif-R4KG-mq3pfus0r,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,75,50,sched-R4KG-ukma4j1n1,uid-li9gr,2026-05-02 11:36:05.706,,pending,,{}
notif-R4KG-oscx2y8jk,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,50,25,sched-R4KG-qoenn5f72,uid-li9gr,2026-05-02 11:36:08.625,,pending,,{}
notif-R4KG-c30rwosen,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,25,0,sched-R4KG-g3afiouzn,uid-li9gr,2026-05-02 11:36:13.096,,pending,,{}
notif-R4KG-0fu6ir3av,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,,,sched-R4KG-g3afiouzn,uid-li9gr,2026-05-02 11:36:17.733,,pending,,{}
notif-R4KG-3nkk0rydi,tid-042hi7ju,tid-8622qs2t,TEST-PRODUCT-001,transfer_in,,,sched-R4KG-g3afiouzn,uid-li9gr,2026-05-02 11:36:17.899,,pending,,{}
notif-R4KG-ijkqc41ry,tid-042hi7ju,tid-042hi7ju,TEST-PRODUCT-001,transfer_out,75,50,sched-R4KG-ek1ryhaf8,uid-li9gr,2026-05-02 11:36:26.44,,pending,,{}
